"","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","diam_tig_princip_mm","diam_tig_lat_mm","diam_rac_pivot_mm","diam_rac_lat_mm","conicite_mm","empreinte_mm","empreinte_photo_mm","x_mm","y_mm","y_photo_mm","prof_pivot_mm","axes_caul_totaux","axes_caul_morts","axes_caul_inflo","axes_rac_lat","inclinaison_axe_principal","complex_rac","mean_vessel_size_µm2_Tige","std_dev_vessel_size_µm2_Tige","mean_vessel_perim_µm_Tige","std_dev_perim_µm_Tige","sum_vessel_area_µm2_Tige","count_vessel_Tige","count_cluster_Tige","vessel_grouping_Tige","dh_Tige","vessel_density_per_mm2_Tige","vessel_area_Tige","Kth_Tige","Ring_Size_Year_2024_Tige","Ring_Size_Year_2023_Tige","Ring_Size_Year_2022_Tige","Ring_Size_Year_2021_Tige","mean_vessel_size_µm2_Racine","std_dev_vessel_size_µm2_Racine","mean_vessel_perim_µm_Racine","std_dev_perim_µm_Racine","sum_vessel_area_µm2_Racine","count_vessel_Racine","count_cluster_Racine","vessel_grouping_Racine","dh_Racine","image_surface_rectified_mm2_Racine","vessel_density_per_mm2_Racine","vessel_area_Racine","Kth_Racine","Ring_Size_Year_2024_Racine","Ring_Size_Year_2023_Racine","Ring_Size_Year_2022_Racine","Ring_Size_Year_2021_Racine"
"41",40,"t3","T",3,"Ho1","Ho",1,1,4.1,1.46,3.96,1.81,27,160,119,225,17,NA,37,26,7,9,2,0,6,130.538217695018,70.8281150441345,62.2100007011477,35.11604362939,137848.357885939,1056,170,6.21176470588235,13.7504697711664,1823.47596484136,0.238033302460095,1.59389582464184,220.032,118.251,42.502,475.833,217.699138092549,123.161120586552,58.4802196907609,17.3043678148408,40056.641409029,184,70,2.62857142857143,17.8397521572409,0.164046620871874,1121.63236903069,0.244178399994686,2.77776529301787,106.239,218.739,129.358,114.153
"42",41,"t3","T",3,"Ho2","Ho",2,1,4.07,1.61,2.97,1.65,24,68,117,227,17,52,46,6,0,6,6,0,6,121.315702802577,42.6915440142949,44.3722703822019,9.37598178595089,25233.666182936,208,63,3.3015873015873,12.7947512266208,1442.2414832506,0.174966539151578,0.945050714230045,44.155,96.127,107.835,50.175,98.171191011236,28.2274120745953,NA,NA,8737.236,89,45,1.97777777777778,11.4019312179709,0.0757278306435392,1175.26144937301,0.11537681623454,0.485666228253279,49.192,85.921,28.785,108.864
"43",42,"t3","T",3,"Ho3","Ho",3,1,5.77,2.43,5.08,2.62,17,156,143,249,37,NA,15,11,0,0,3,1,6,122.646235890014,53.1558287107391,NA,NA,84748.549,691,48,14.3958333333333,13.0450880688572,1068.00942571577,0.130987335959095,0.75622824522908,201.242,86.471,372.728,186.186,195.388456310268,97.7496733752892,59.5253974136098,19.5293009510562,24032.780126163,123,34,3.61764705882353,16.6716973899197,0.0933810750066395,1317.18337994347,0.257362427284696,2.48802800414953,47.622,59.657,122.467,77.037
"44",43,"T3","T",3,"Fe1","Fe",1,0,5.31,2.08,2.47,1.21,26,118,116,145,250,232,25,6,0,6,5,1,6,124.904795089304,57.1626181444416,46.0995388915429,11.9154031888379,40718.963199113,326,265,1.23018867924528,13.2231000066741,579.803221291203,0.0724202025474959,0.433414564261242,232.678,253.234,111.471,241.886,182.755354011732,106.375199103672,53.4725589788475,15.6522262319554,53912.829433461,295,223,1.32286995515695,16.4049790978191,0.458096960684707,643.968472436644,0.117688686152553,1.14039965727793,222.726,260.828,182.347,247.321
"45",44,"T3","T",3,"Fe2","Fe",2,0,3.04,1.87,1.72,1.64,39,227,191,232,190,225,52,4,0,3,2,1,5,115.215451160348,64.5184046885653,51.0860159483348,20.3726583463757,26153.907413399,227,83,2.73493975903614,12.9631384925517,1444.98947929176,0.166485114778556,0.997688751133319,71.692,210.455,172.162,169.574,132.411745501637,58.6430932212724,52.2492255518137,13.756411131188,13505.998041167,102,78,1.30769230769231,13.5734336314077,0.190400949761233,535.711613455239,0.0709345098231066,0.444610488266515,101.519,185.767,152.8,139.968
"46",45,"T3","T",3,"Fe3","Fe",3,0,4.1,1.74,3.5,2.87,23,NA,213,213,292,260,132,9,0,8,2,1,7,142.859580827641,121.39069340655,61.5329909581208,29.847794244368,88715.799693965,621,129,4.81395348837209,15.4470750308056,1573.30763971282,0.224762069922298,2.19022344115497,357.035,421.217,106.762,196.333,195.585604469703,108.203034042499,95.2934459823931,28.6123312800231,28359.912648107,145,127,1.14173228346457,16.8631455475941,0.405355720726155,357.710506071671,0.0699630255551914,0.707254625781285,339.627,405.025,121.404,180.837
"47",46,"t3","T",3,"Fe1","Fe",1,1,4.15,3.3,3.24,NA,27,140,147,180,180,157,43,3,0,2,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",47,"t3","T",3,"Fe2","Fe",2,1,4.44,1.91,3.8,NA,13,197,157,257,NA,103,63,3,0,1,3,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",48,"t3","T",3,"Fe3","Fe",3,1,6.92,5.15,5.49,2.74,35,280,381,280,295,272,13,4,0,4,5,0,7,209.957153846154,118.893757855056,NA,NA,84612.733,403,58,6.94827586206897,17.5248151077774,511.538283495675,0.107401122086099,1.17972740391485,326.715,285.732,136.587,190.271,223.210046471094,142.58736592781,72.7490834799487,26.9032934741392,26115.575437118,117,89,1.31460674157303,18.3526472124928,0.231463805547514,505.478598363331,0.112827901430823,1.40212710571981,285.772,232.368,128.815,257.476
"50",49,"T3","T",3,"Ft1","Ft",1,0,7.67,5.71,7.86,2.34,9,175,180,175,201,197,17,4,0,4,3,0,5,129.862753928979,64.6291758579177,64.1448177432639,32.7270560173708,49217.983739083,379,189,2.00529100529101,13.5883316700833,1095.81529032846,0.142305591399537,0.91346446670945,279.819,574.755,140.381,208.334,230.872580446783,135.234125430738,61.5502266134917,22.0395699256927,27704.709653614,120,60,2,18.4474951029646,0.162216269004675,739.753174797416,0.17078872435918,2.09472106290936,140.378,48.324,91.76,158.894
"51",50,"T3","T",3,"Ft2","Ft",2,0,10.39,3.94,5.89,3.65,17,177,169,215,256,262,20,6,0,6,5,0,6,141.236210660807,81.6077814674441,47.1602400356722,14.3886868999776,51268.744469873,363,286,1.26923076923077,14.4089115397226,727.100356715081,0.102692899152559,0.766317609005613,191.934,552.594,213.698,231.394,200.047977277647,108.141784433439,66.7968016448043,19.6090194523478,36808.827819087,184,138,1.33333333333333,17.010740962875,0.358020384621901,513.937216715521,0.102812100651643,1.05218653625635,143.835,225.558,323.2,236.06
"52",51,"T3","T",3,"Ft3","Ft",3,0,7.72,3.72,5.86,2.77,22,153,158,153,295,315,43,4,0,4,3,0,6,128.775844810681,65.8253294084098,50.9683756203284,19.2869707625291,26270.272341379,204,153,1.33333333333333,13.5664245693281,581.863079633578,0.0749299096439588,0.481916910562152,213.814,446.116,257.669,310.848,224.454755505974,155.485636153471,61.751639661485,25.3249254777852,52297.958032892,233,136,1.71323529411765,18.6390638252085,0.310950908153105,749.31442195781,0.168187185377641,2.21131300692234,225.624,307.699,212.547,291.335
"53",52,"t3","T",3,"Ft1","Ft",1,1,7.7,3.69,6.83,3.34,15,115,136,115,227,221,40,8,0,6,2,0,6,117.52525,79.1624543671194,NA,NA,16453.535,140,92,1.52173913043478,13.4244841932764,409.803759735127,0.0481622893138107,0.325428899105302,379.912,158.531,521.497,367.471,112.306823350685,55.3854010960851,46.6597405787113,19.5930364038431,37735.09264583,336,243,1.38271604938272,12.6249849625105,0.483131848190665,695.46232826158,0.078105164847129,0.432003072095955,296.961,427.868,450.201,266.079
"54",53,"t3","T",3,"Ft2","Ft",2,1,8.28,4.89,8.5,2.75,35,225,229,270,143,144,82,3,0,3,3,1,4,138.642381976937,107.634875054904,77.8117776440544,52.7177837678444,33135.529292488,239,82,2.91463414634146,14.9432945230029,1090.84060188026,0.151236739401835,1.32995352905531,221.489,189.979,209.169,264.899,222.613672751132,159.227725231048,81.651223153579,38.8189462662331,16918.639129086,76,28,2.71428571428571,18.6468670907695,0.0670459121054195,1133.55158597144,0.252344081805972,3.35084652815978,90.373,64.871,95.956,106.386
"55",54,"t3","T",3,"Ft3","Ft",3,1,23.25,10.53,13.23,6.33,6.62,252,352,252,231,221,19,4,0,1,6,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",55,"F1","F",1,"Fe1","Fe",1,0,3,2.09,2.46,0.92,34,155,142,261,247,215,42,4,2,1,2,1,5,180.024603960396,98.052793825757,NA,NA,36364.97,202,80,2.525,16.1511823381239,670.67524110335,0.120738044665674,1.11588464496623,166.55,80.722,78.778,238.862,203.8449609375,123.058770648404,NA,NA,52184.31,256,76,3.36842105263158,17.4072538774616,0.436419956945467,586.590956545071,0.119573610623221,1.31687988415941,116.739,120.206,378.862,272.682
"57",56,"F1","F",1,"Fe2","Fe",2,0,2.82,1.96,2.13,1.04,33,135,148,198,237,250,53,3,0,1,2,0,4,183.076575066372,89.9805193019964,52.6562358630465,13.960867531733,15744.585455708,86,63,1.36507936507937,16.107115637798,689.925133680677,0.126309130526467,1.13543641868345,114.63,80.078,58.106,71.698,257.813831868143,130.778518210989,60.0408088632714,16.4188117601379,18046.96823077,70,54,1.2962962962963,19.1712776923717,0.104666008822416,668.794012378624,0.172424347061803,2.20895238703928,151.319,58.423,84.798,74.336
"58",57,"F1","F",1,"Fe3","Fe",3,0,5.99,4.31,3.83,1.17,19,243,231,315,226,184,74,2,0,2,3,1,5,118.387313093952,75.5520751250339,55.8534111025455,35.4220936951555,46881.375985205,396,174,2.27586206896552,13.3697296461174,893.37584981182,0.105764366442247,0.697934162340113,186.337,186.293,111.252,114.196,163.763178346466,101.992091547666,53.8845181489248,22.1099951576692,21780.50272008,133,83,1.60240963855422,15.6647328959603,0.214064921515648,621.306840272183,0.101747182891373,0.91471933266391,173.09,71.658,77.898,203.067
"59",58,"F1","F",1,"Ft1","Ft",1,0,5.18,2.96,6.42,2.59,18,177,156,177,215,131,24,3,1,2,5,0,4,104.628660669254,34.100976171042,47.1138155399661,11.0042394315311,6173.090979486,59,50,1.18,11.8321737677452,295.92068173329,0.0309617845940867,0.141815343838537,255.39,256.419,231.293,NA,199.589935733415,123.207024100512,62.6946453008815,22.5545186822313,26944.641324011,135,104,1.29807692307692,17.2725079496159,0.267432341686659,504.800575534633,0.100753114429148,1.09857874810824,311.672,181.227,147.883,201.658
"60",59,"F1","F",1,"Ft2","Ft",2,0,8.54,3.88,6.57,3.1,20,122,155,122,290,290,38,7,1,6,4,0,4,124.618882873638,65.7602814306609,57.2361343510757,26.1794314033829,23054.493331623,185,92,2.01086956521739,13.3903119528062,940.79623647305,0.117240976000994,0.739516890734057,245.008,310.252,104.955,77.425,193.184766569679,119.076495819413,71.0768626160584,22.5262268718691,26466.313020046,137,105,1.3047619047619,16.9897713083248,0.232105044750652,590.249988522126,0.114027306250403,1.20247447573399,242.79,167.835,107.819,196.322
"61",60,"F1","F",1,"Ft3","Ft",3,0,5.49,2.77,3.93,2.45,23,86,102,86,240,204,25,3,0,2,2,0,3,314.447201041348,166.653756915793,76.0964004982174,23.8347885081274,14464.571247902,46,31,1.48387096774194,21.2612095903021,595.489143908324,0.187249894552481,2.97519523913301,59.884,34.553,51.282,63.802,258.280996560667,124.288772118237,65.1736542342564,16.6414383220904,20145.917731732,78,63,1.23809523809524,19.092106893577,0.115174172518935,677.235167347754,0.174916973928508,2.20011143371004,48.245,125.677,124.019,134.011
"62",61,"F2","F",2,"Fe1","Fe",1,0,2.77,2.23,1.77,1.03,49,150,172,275,220,195,42,1,0,1,1,0,3,217.200392335718,128.026915160021,55.7951743165493,17.3370714334291,15421.227855836,71,40,1.775,17.9006084215564,835.559963234695,0.181483951834594,2.09767662519866,48.145,79.156,79.567,60.18,235.116409710791,121.870713635527,61.3165593336716,18.6171751800434,15752.799450623,67,45,1.48888888888889,18.3480827346511,0.095797632311036,699.390980587748,0.164438296339901,1.938083719865,31.506,78.667,59.84,76.337
"63",62,"F2","F",2,"Fe2","Fe",2,0,4.9,2.42,4.11,1.89,26,283,263,283,278,243,37,8,0,2,3,0,4,196.182526775765,169.665682221286,63.6491384416325,32.317585050307,32566.299444777,166,39,4.25641025641026,18.1608714717823,1262.36496353131,0.247653948258768,3.35754172731871,70.878,75.5,107.859,94.786,182.411211316597,156.54512623802,59.5336503379579,21.6434909502913,69316.260300307,380,107,3.55140186915888,17.4895493427539,0.292497073374146,1299.15829794962,0.236981038820999,2.97211968980892,156.224,181.83,206.241,307.699
"64",63,"F2","F",2,"Fe3","Fe",3,0,2.44,1.94,2.06,1.29,20,160,138,175,235,191,50,6,2,1,3,1,4,140.569453511785,99.6820385598836,61.0190968581728,26.239476270582,49621.01708966,353,139,2.53956834532374,14.8090639141067,1100.27440069468,0.154664971218657,1.29390140859218,138.11,107.476,145.192,127.151,183.96540409291,111.112058448586,63.5872052878077,22.6268773831375,14349.301519247,78,62,1.25806451612903,16.5278885585714,0.220989319230152,352.958234686292,0.0649321042719841,0.643995109426763,65.022,140.49,88.623,208.271
"65",64,"F2","F",2,"Ft1","Ft",1,0,4.53,3.5,2.99,1.71,29,136,139,136,222,206,37,4,0,4,3,0,3,109.07820182508,41.3457565182294,60.7994383015467,13.6330780660915,8180.865136881,75,60,1.25,12.1819786494119,286.079697495052,0.0312050589814231,0.154045182466788,232.53,273.804,97.382,168.158,211.194446215237,115.248735583831,59.4163443734359,19.6927081563541,32946.333609577,156,95,1.64210526315789,17.4959462851457,0.198325538256721,786.585536947173,0.166122496876473,1.80212723685511,228.069,130.721,79.876,186.363
"66",65,"F2","F",2,"Ft2","Ft",2,0,3.5,2.05,1.88,1.03,16,54,50,54,168,174,69,2,0,2,3,1,5,103.986293537763,33.3671149251758,46.4619270066316,10.7248851283614,3951.479154435,38,24,1.58333333333333,11.7846416955665,352.384067101177,0.0366431130396138,0.166177239869851,97.758,80.423,39.219,89.909,214.124301853891,102.891440946497,75.2101725106719,23.829721709131,13703.955318649,64,45,1.42222222222222,17.3790148462544,0.114166315342696,560.585666690648,0.120035014509433,1.2503521731381,73.327,85.353,87.951,85.336
"67",66,"F2","F",2,"Ft3","Ft",3,0,5.25,2.92,4.16,2.38,27,129,77,149,195,200,23,2,0,2,4,1,4,188.201063114582,93.4230712457537,70.7800001332755,30.5737492731478,18443.704185229,98,55,1.78181818181818,16.3479147432496,962.1064143346,0.18106945000713,1.6802051583033,67.013,123.16,113.735,114.145,266.381335137095,160.041680098522,97.7580800939054,46.9776266861691,19712.218800145,74,36,2.05555555555556,19.8736860935306,0.0854277375289448,866.229191366881,0.230747288531036,3.30397129436836,39.773,55.992,75.709,92.527
"68",67,"F3","F",3,"Fe1","Fe",1,0,2.6,2.16,1.51,0.98,20,150,104,280,145,248,50,2,0,0,2,1,4,174.10931224416,70.4061324758636,64.45865921364,15.6325696211752,8705.465612208,50,43,1.16279069767442,15.4526912285725,414.463626232961,0.0721619769136415,0.577820141636955,123.332,55.992,104.433,93.146,235.286418604651,145.924604965504,NA,NA,40469.264,172,50,3.44,18.7677766814864,0.239160866786354,719.181203476948,0.169213569693874,2.18162139303102,120.226,174.414,110.057,171.608
"69",68,"F3","F",3,"Fe2","Fe",2,0,4.62,2.52,3.56,1.38,18,248,205,275,325,278,76,6,0,2,4,0,5,187.109077662606,126.247055879585,59.1026236194357,21.5560202164671,85883.066647136,459,333,1.37837837837838,16.9497418737641,582.961278096447,0.10907734705764,1.17647258322493,283.315,152.672,163.295,279.452,184.083365706422,99.5871954130415,61.0282037017477,18.0450995572036,60563.427317413,329,257,1.28015564202335,16.3214782467694,0.580355430019185,566.893980795741,0.104355751983592,0.983624992253328,272.894,150.715,155.701,277.865
"70",69,"F3","F",3,"Fe3","Fe",3,0,5.18,2.48,3.35,2.06,33,233,280,233,342,322,26,3,0,2,2,0,4,180.28081595092,124.070170586846,NA,NA,58771.546,326,86,3.7906976744186,16.6885865807354,762.770548411604,0.137512896850975,1.44664472527101,110.493,151.23,277.016,206.185,226.918233754301,124.863975596281,60.0881380977796,18.6610285968183,42206.7914783,186,138,1.34782608695652,18.1539970405882,0.323251091740546,575.404089119955,0.130569679598103,1.52809984678968,255.39,272.186,183.748,108.864
"71",70,"F3","F",3,"Ft1","Ft",1,0,3.45,2.74,2.19,0.85,27,77,84,101,172,117,47,2,0,2,2,1,3,140.57885947493,57.289811422631,55.1554203581127,14.2976624356301,9981.09902272,71,51,1.3921568627451,13.8956557259971,798.133357679286,0.11220067713145,0.727581071311967,67.512,150.216,36.764,92.152,137.961814615649,50.2761021139175,50.1637557371351,11.6371996987406,10209.174281558,74,57,1.29824561403509,13.6678716131803,0.088681848514982,834.443589518754,0.115121351804403,0.712016884336255,94.715,75.355,63.849,92.136
"72",71,"F3","F",3,"Ft2","Ft",2,0,4.66,2.81,3.45,3.17,19,188,176,194,118,124,75,3,0,2,1,0,5,102.566842767296,42.5386299035366,NA,NA,16308.128,159,44,3.61363636363636,11.8875153966291,717.66153848219,0.0736082781776383,0.350407819113769,109.97,190.58,140.49,231.484,138.025254098361,64.2489045040942,NA,NA,16839.081,122,29,4.20689655172414,13.9177689780192,0.22413454968265,544.31590387443,0.0751293409420471,0.499366338792448,194.98,159.248,95.743,181.092
"73",72,"F3","F",3,"Ft3","Ft",3,0,4.6,3.08,6.91,3.92,18,NA,151,151,NA,175,55,4,0,3,3,0,5,114.365498967336,53.281317230843,53.198138168084,11.8661473734165,13609.494377113,119,97,1.22680412371134,12.6697149533481,351.412429891203,0.0401894578878314,0.221398279938056,208.397,225.074,255.882,333.132,204.902443917976,80.0084922109611,67.9054898276219,15.2819364265674,16802.000401274,82,48,1.70833333333333,16.7286351450334,0.107702722743,761.354939890129,0.156003487872511,1.4578705191548,115.124,90.651,85.821,80.629
"74",73,"P1","P",1,"Fe1","Fe",1,0,3.47,2.79,3.1,2.45,10,127,173,127,265,293,15,2,0,1,2,1,5,188.756060644056,91.2390021720656,56.7300596436056,16.9659461453373,13401.680305728,71,56,1.26785714285714,16.3272552360415,564.112581490765,0.106479668641946,0.980185470733489,120.952,95.784,30.985,70.692,203.510810330788,115.640569365957,56.750885175177,17.2045133453935,22996.721567379,113,76,1.48684210526316,17.2541833928994,0.20288485303497,556.966172238215,0.113348637039036,1.20696924805773,107.457,94.197,69.123,145.998
"75",74,"P1","P",1,"Fe2","Fe",2,0,2.39,1.78,2.6,0.89,27,NA,102,131,254,252,83,3,0,3,3,0,5,159.638496380807,70.1010502555143,48.643040759747,11.751415378545,13249.995199607,83,62,1.33870967741935,14.8921295807134,600.02170637568,0.0957865630016597,0.721579081690086,73.277,37.709,45.079,160.772,147.96596,71.2608863314642,NA,NA,14796.596,100,56,1.78571428571429,14.4536953726712,0.187514075355521,533.29329977178,0.0789092550622992,0.569077563407716,56.08,140.249,135.054,157.008
"76",75,"P1","P",1,"Fe3","Fe",3,0,4.03,2.18,4.28,2.65,18,113,112,113,284,260,77,2,0,2,4,1,5,216.181844287658,121.090337410999,65.1539577273836,17.3663711734982,15781.274632999,73,57,1.28070175438596,17.7474875403878,539.542440706985,0.1166392799035,1.30876863676972,43.956,38.896,155.74,67.38,261.816079425951,190.64319003804,68.4419512434512,25.4330479271965,21468.918512928,82,46,1.78260869565217,20.2852982202716,0.107982272369988,759.383908120002,0.198818917603136,3.14395791588044,38.755,63.337,58.629,129.776
"77",76,"P1","P",1,"Ft1","Ft",1,0,5.59,4.32,4.25,3.84,65,179,143,183,198,206,32,3,0,3,2,1,5,138.05137483424,55.1775324952672,50.6148214103082,14.8975602891478,20155.500725799,146,78,1.87179487179487,13.7551114980292,1034.22940149888,0.142776790770913,0.905238648095585,185.763,100.493,62.803,154.907,137.95568852459,137.851682789335,NA,NA,8415.297,61,47,1.29787234042553,15.7256125782092,0.0668093061624273,913.046452715679,0.125959952039326,1.36525227434502,129.912,55.972,63.424,120.335
"78",77,"P1","P",1,"Ft2","Ft",2,0,9.33,4.84,10.85,6.22,49,163,277,163,165,172,32,4,0,4,4,0,5,201.486645622923,114.391164378001,57.3483529324903,20.9552588874353,31230.430071553,155,103,1.50485436893204,17.1688723042688,694.824654433027,0.139997888917817,1.47615529679965,104.218,115.912,109.346,186.617,244.165618211558,167.804341885265,65.8306734727117,25.1603117133883,39798.995768484,163,79,2.06329113924051,19.4126156240817,0.216809491017039,751.81210580486,0.183566667592777,2.61056964230688,111.705,85.296,104.992,185.503
"79",78,"P1","P",1,"Ft3","Ft",3,0,3.92,2.44,2.54,0.95,49,115,128,181,123,122,32,2,0,2,1,1,5,131.408493319437,58.5358220496597,46.2706611538169,12.4877663843063,18660.00605136,142,104,1.36538461538462,13.529845256121,684.701374110502,0.0899755759456089,0.560999229138463,270.568,158.669,57.163,139.011,193.069950509432,105.859490876636,56.5342162021091,16.8700742444114,42475.389112075,220,154,1.42857142857143,16.7392729638457,0.301104244847184,730.643967213594,0.141065394589944,1.40262609781166,309.298,186.82,144.734,185.303
"80",79,"P2","P",2,"Fe1","Fe",1,0,2.88,2.56,3.11,2.54,22,184,212,184,245,262,149,3,0,3,3,1,6,125.741212245225,67.0582383164008,49.1329004633046,14.1490420669234,18986.923049029,151,67,2.25373134328358,13.4651344541246,988.88780553887,0.124343951442978,0.79483969106839,67.536,125.698,64.887,112.165,127.05256274669,38.8261346595385,52.330436783069,9.57681314503371,3684.524319654,29,26,1.11538461538462,12.9963053066121,0.117825923877771,246.125801908277,0.0312709138905307,0.171682690946709,53.017,106.413,70.651,94.728
"81",80,"P2","P",2,"Fe2","Fe",2,0,5.42,2.94,3.54,2.63,36,215,244,235,183,182,97,4,0,4,4,1,6,224.806254807218,133.188301778789,78.7364968917818,24.4086527795101,37093.032043191,165,120,1.375,18.2327649170959,505.526905131605,0.11364561024692,1.36597940480569,158.451,156.989,157.209,83.732,268.703700366486,217.961615998605,67.8187274135496,26.8655888499252,59652.22148136,222,85,2.61176470588235,20.9793701453841,0.269111008447735,824.938382418924,0.221663995930309,3.90733852591835,149.44,83.889,107.802,119.328
"82",81,"P2","P",2,"Fe3","Fe",3,0,4.38,3.27,2.96,1.79,21,185,202,185,233,260,163,3,0,3,4,1,6,120.631344140504,87.3488112267581,55.4645903954021,21.5669979496069,46201.804805813,383,56,6.83928571428571,13.7675413570689,1869.33420120138,0.225500297338738,1.64211004575352,209.756,118.337,90.033,102.127,180.955611816449,116.951474381136,56.2251779938912,18.2734069907386,26600.474937018,147,93,1.58064516129032,16.5546325695581,0.236720762293994,620.984820154618,0.112370688059806,1.14037822270902,195.779,66.067,86.444,81.48
"83",82,"P2","P",2,"Ft1","Ft",1,0,11.53,6.48,13.11,7.17,22,255,308,255,157,144,165,4,0,4,4,0,5,118.404005193284,40.2738230294773,42.5969736103435,8.59190517995721,77554.623401601,655,442,1.48190045248869,12.6184901838684,953.516170177062,0.112900133565525,0.59108152656842,339.193,256.487,166.006,293.132,193.985251773916,93.880287054883,58.301184153662,18.09705476741,13772.952875948,71,52,1.36538461538462,16.5537496146828,0.123991622261832,572.619332700317,0.111079705424482,1.05133538398007,45.538,120.952,70.646,92.349
"84",83,"P2","P",2,"Ft2","Ft",2,0,8.08,8.79,7.26,4.94,19,215,196,215,217,189,35,4,0,4,3,0,5,117.921490798173,48.9373462945397,42.0104535645354,9.07894509415303,14976.029331368,127,106,1.19811320754717,12.7461363625988,601.469572254018,0.0709261886299334,0.388166141307339,232.865,184.59,98.613,126.2,173.78068277829,111.353897920201,74.6217631037735,30.9866987247853,68295.808331868,393,271,1.45018450184502,16.2078543853715,0.609783162006421,644.491393804445,0.112000154460068,1.08744919074706,474.357,421.926,268.739,399.956
"85",84,"P2","P",2,"Ft3","Ft",3,0,3.01,1.63,2.19,0.82,27,NA,83,114,146,178,60,4,0,4,2,1,5,129.405315989706,56.1498474125863,47.4370029359608,13.8980853968125,13199.34223095,102,78,1.30769230769231,13.3965072160223,571.729480549974,0.0739848340911998,0.45024268238459,96.922,110.493,146.524,101.043,232.445248245329,114.207152518804,60.7992911893816,17.8072149015558,17665.838866645,76,58,1.31034482758621,18.1474478432689,0.190037617386099,399.920821179267,0.0929596945574905,1.06053740375934,50.304,110.937,122.552,204.402
"86",85,"P3","P",3,"Fe1","Fe",1,0,3.34,1.97,2.56,1.67,32,155,231,155,245,292,90,5,0,4,3,1,6,141.155568594773,84.0681036375596,47.8138070599945,16.767505644669,50957.160262713,361,278,1.29856115107914,14.4606035310717,701.212132182872,0.0989799972238263,0.749695398416569,225.035,332.423,128.937,199.072,178.974683572561,111.052315349194,64.0762044381792,35.7097917899065,37942.632917383,212,134,1.58208955223881,16.3708650953611,0.321056859898551,660.319172332866,0.11818041492517,1.159658653306,185.987,295.521,106.993,174.028
"87",86,"P3","P",3,"Fe2","Fe",2,0,3.4,2.8,2.77,1.25,27,165,205,242,222,180,132,2,0,2,4,1,5,123.698407534227,48.1010796090138,48.8972740510455,10.8151609016674,10885.459863012,88,76,1.15789473684211,12.9946205934684,404.539619730897,0.0500409067452139,0.282036440082141,266.102,135.581,153.437,113.784,190.083983714869,98.4381664906016,57.2682477932081,18.575516330816,42008.560400986,221,162,1.3641975308642,16.5051551721379,0.356349931855741,620.176911074775,0.117885697865075,1.12534008108531,272.117,101.604,148.617,107.843
"88",87,"P3","P",3,"Fe3","Fe",3,0,3.98,3.23,2.31,0.98,33,180,201,249,219,195,86,5,1,4,4,1,4,139.569463620719,81.1187715404194,49.6093891883203,15.780070966575,53594.674030356,384,191,2.01047120418848,14.3343098280016,1012.92692013353,0.141373666930023,1.04562271550308,218.839,205.801,210.901,125.687,128.915953896369,89.1911175150559,54.1731158591475,24.3718609040857,135490.667545084,1051,68,15.4558823529412,14.1267496632959,0.443147216137075,2371.67235114685,0.305746403477741,2.30947589926088,277.905,154.046,274.797,139.753
"89",88,"P3","P",3,"Ft1","Ft",1,0,5.77,3.32,4.34,2.72,39,149,127,149,183,202,27,2,0,2,2,1,5,125.845102705422,73.4394881488891,48.7501707729114,25.3929578961197,29825.289341185,237,175,1.35428571428571,13.6168889828525,761.512352438683,0.0958326002040935,0.640144894786905,116.551,279.594,160.195,172.684,123.276852593072,52.5312943897045,44.9176239052889,13.1584562378709,22189.833466753,180,135,1.33333333333333,13.059275142711,0.28868167273549,623.524168660781,0.076866097028213,0.443424134602686,296.741,106.75,409.808,251.77
"90",89,"P3","P",3,"Ft2","Ft",2,0,3.65,1.75,2.59,1.97,21,65,67,108,144,123,47,4,0,3,3,0,4,122.558568359284,61.3263269096057,47.3241588093895,15.5746258315695,11643.063994132,95,74,1.28378378378378,13.2025752441468,513.934970197978,0.0629871341772355,0.381797009236077,249.086,171.271,140.242,84.264,156.770601335598,93.8748426105422,54.5576143651639,20.7307391003835,19126.013362943,122,90,1.35555555555556,15.2448243396044,0.224907394805263,542.445481197424,0.0850395042790982,0.716366949328731,326.541,142.681,167.165,91.589
"91",90,"P3","P",3,"Ft3","Ft",3,0,6.33,3.94,9.38,5.71,92,210,149,NA,165,167,57,5,0,2,4,0,6,135.370301258965,56.1378877783705,47.1999492602953,12.820036024452,34384.056519777,254,124,2.04838709677419,13.6578897368187,888.546326739768,0.120282783933309,0.755969426605542,111.559,164.349,108.4,224.885,207.691839317062,141.660432591569,69.135264179631,38.2599655833099,69784.458010533,336,187,1.79679144385027,17.8870132660549,0.399371004030084,841.322971896802,0.174735915492944,2.10573546036103,269.782,152.428,277.684,259.603
