"","X","file","id_complete","image_surface_µm2","id_amap","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ","Ring_Size_Year_2024","Ring_Size_Year_2023","Ring_Size_Year_2022","Ring_Size_Year_2021","image_surface_rectified_µm2"
"115",115,"1943_P2-Ft3-84_Racine_X200_09µm_square.jpg","1943_P2_Ft3_84_R_X200_09µm",210792.465940964,"1943",84,"P2","P",2,"Ft3","Ft",3,0,"R",50.304,110.937,122.552,204.402,190037.617386099
"116",116,"1944_P3-Fe1-85_Tige_X200_09µm_square.jpg","1944_P3_Fe1_85_T_X200_09µm",555491.941207148,"1944",85,"P3","P",3,"Fe1","Fe",1,0,"T",225.035,332.423,128.937,199.072,514822.809577193
"117",117,"1945_P3-Fe1-85_Racine_X200_09µm_2_UNSURE_1965_square.jpg","1945_P3_Fe1_85_R_X200_09µm_2_UNSURE_1965",360186.962681009,"1945",85,"P3","P",3,"Fe1","Fe",1,0,"R",185.987,295.521,106.993,174.028,321056.859898551
"118",118,"1946_P3-Ft3-90_Tige_X200_09µm_square.jpg","1946_P3_Ft3_90_T_X200_09µm",431508.532940232,"1946",90,"P3","P",3,"Ft3","Ft",3,0,"T",111.559,164.349,108.4,224.885,285860.165481715
"119",119,"1947_P3-Ft3-90_Racine_X200_09µm_square.jpg","1947_P3_Ft3_90_R_X200_09µm",431747.286392468,"1947",90,"P3","P",3,"Ft3","Ft",3,0,"R",269.782,152.428,277.684,259.603,399371.004030084
"120",120,"1948_P2-Ft2-83_Tige_X200_09µm_square.jpg","1948_P2_Ft2_83_T_X200_09µm",227030.438691316,"1948",83,"P2","P",2,"Ft2","Ft",2,0,"T",232.865,184.59,98.613,126.2,211149.500919997
"121",121,"1949_P2-Ft2-83_Racine_X200_09µm_square.jpg","1949_P2_Ft2_83_R_X200_09µm",666902.461255401,"1949",83,"P2","P",2,"Ft2","Ft",2,0,"R",474.357,421.926,268.739,399.956,609783.162006421
"122",122,"1950_P2-Ft1-82_Tige_X200_09µm_square.jpg","1950_P2_Ft1_82_T_X200_09µm",725223.467960646,"1950",82,"P2","P",2,"Ft1","Ft",1,0,"T",339.193,256.487,166.006,293.132,686931.192659659
"123",123,"1951_P2-Ft1-82_Racine_X200_09µm_square.jpg","1951_P2_Ft1_82_R_X200_09µm",152164.255825846,"1951",82,"P2","P",2,"Ft1","Ft",1,0,"R",45.538,120.952,70.646,92.349,123991.622261832
"124",124,"1952_P2-Fe2-80_Tige_X200_09µm_1932_INTRUS_T3-Ho3-39_Tige_X200_09µm_square.jpg","1952_P2_Fe2_80_T_X200_09µm_1932_INTRUS_T3_Ho3_39_T_X200_09µm",339389.127552748,"1952",80,"P2","P",2,"Fe2","Fe",2,0,"T",158.451,156.989,157.209,83.732,326392.123396568
"125",125,"1953_P2-Fe2-80_Racine_X200_09µm_square.jpg","1953_P2_Fe2_80_R_X200_09µm",303175.266765434,"1953",80,"P2","P",2,"Fe2","Fe",2,0,"R",149.44,83.889,107.802,119.328,269111.008447735
"126",126,"1954_F3-Fe1-67_Tige_X200_09µm_square.jpg","1954_F3_Fe1_67_T_X200_09µm",127189.604282608,"1954",67,"F3","F",3,"Fe1","Fe",1,0,"T",123.332,55.992,104.433,93.146,120637.848137477
"127",127,"1955_F3-Fe1-67_Racine_X200_09µm_square.jpg","1955_F3_Fe1_67_R_X200_09µm",254021.899786354,"1955",67,"F3","F",3,"Fe1","Fe",1,0,"R",120.226,174.414,110.057,171.608,239160.866786354
"128",128,"1956_F2-Ft1-64_Tige_X200_09µm_1_square.jpg","1956_F2_Ft1_64_T_X200_09µm_1",286847.487670664,"1956",64,"F2","F",2,"Ft1","Ft",1,0,"T",232.53,273.804,97.382,168.158,262164.706746788
"129",129,"1957_F2-Ft1-64_Racine_X200_09µm_square.jpg","1957_F2_Ft1_64_R_X200_09µm",207103.56082402,"1957",64,"F2","F",2,"Ft1","Ft",1,0,"R",228.069,130.721,79.876,186.363,198325.538256721
"130",130,"1958_F2-Fe1-61_Tige_X200_09µm_square.jpg","1958_F2_Fe1_61_T_X200_09µm",92633.0538695882,"1958",61,"F2","F",2,"Fe1","Fe",1,0,"T",48.145,79.156,79.567,60.18,84972.9560104082
"131",131,"1959_F2-Fe1-61_Racine_X200_09µm_square.jpg","1959_F2_Fe1_61_R_X200_09µm",106859.96686458,"1959",61,"F2","F",2,"Fe1","Fe",1,0,"R",31.506,78.667,59.84,76.337,95797.632311036
"132",132,"1960_F3-Fe2-68_Tige_X200_09µm_square.jpg","1960_F3_Fe2_68_T_X200_09µm",876744.29418471,"1960",68,"F3","F",3,"Fe2","Fe",2,0,"T",283.315,152.672,163.295,279.452,787359.327704887
"133",133,"1961_F3-Fe2-68_Racine_X200_09µm_square.jpg","1961_F3_Fe2_68_R_X200_09µm",609401.211242809,"1961",68,"F3","F",3,"Fe2","Fe",2,0,"R",272.894,150.715,155.701,277.865,580355.430019185
"134",134,"1962_F3-Ft3-72_Tige_X200_09µm_square.jpg","1962_F3_Ft3_72_T_X200_09µm",376047.639264868,"1962",72,"F3","F",3,"Ft3","Ft",3,0,"T",208.397,225.074,255.882,333.132,338633.440020441
"135",135,"1963_F3-Ft3-72_Racine_X200_09µm_square.jpg","1963_F3_Ft3_72_R_X200_09µm",116898.290051882,"1963",72,"F3","F",3,"Ft3","Ft",3,0,"R",115.124,90.651,85.821,80.629,107702.722743
"136",136,"1964_P2-Fe1-79_Tige_X200_09µm_square.jpg","1964_P2_Fe1_79_T_X200_09µm",158418.391555174,"1964",79,"P2","P",2,"Fe1","Fe",1,0,"T",67.536,125.698,64.887,112.165,152696.796496258
"137",137,"1965_P2-Fe1-79_Racine_X200_09µm_UNSURE_1945_square.jpg","1965_P2_Fe1_79_R_X200_09µm_UNSURE_1945",117825.923877771,"1965",79,"P2","P",2,"Fe1","Fe",1,0,"R",53.017,106.413,70.651,94.728,117825.923877771
"138",138,"1966_P1-Ft1-76_Tige_X200_09µm_square.jpg","1966_P1_Ft1_76_T_X200_09µm",151746.437284433,"1966",76,"P1","P",1,"Ft1","Ft",1,0,"T",185.763,100.493,62.803,154.907,141167.907031464
"139",139,"1967_P1-Ft1-76_Racine_X200_09µm_square.jpg","1967_P1_Ft1_76_R_X200_09µm",72447.4351624273,"1967",76,"P1","P",1,"Ft1","Ft",1,0,"R",129.912,55.972,63.424,120.335,66809.3061624273
"140",140,"1968_t2-Ft3-36_Tige_X200_09µm_square.jpg","1968_t2_Ft3_36_T_X200_09µm",164455.67781871,"1968",36,"t2","T",2,"Ft3","Ft",3,1,"T",74.859,92.635,127.699,133.171,148547.633864167
"141",141,"1969_t2-Ft3-36_Racine_X200_09µm_square.jpg","1969_t2_Ft3_36_R_X200_09µm",96220.9268490608,"1969",36,"t2","T",2,"Ft3","Ft",3,1,"R",35.013,58.167,44.266,90.72,76507.8866494218
"142",142,"1970_t1-Ft1-16_Tige_X200_09µm_square.jpg","1970_t1_Ft1_16_T_X200_09µm",566798.505209539,"1970",16,"t1","T",1,"Ft1","Ft",1,1,"T",580.924,848.096,259.858,313.5,556456.811809992
"143",143,"1971_t1-Ft1-16_Racine_X200_09µm_square.jpg","1971_t1_Ft1_16_R_X200_09µm",214904.391796102,"1971",16,"t1","T",1,"Ft1","Ft",1,1,"R",156.207,194.866,112.517,195.888,214904.391796102
"144",144,"1972_t1-Fe1-10_Tige_X200_09µm_square.jpg","1972_t1_Fe1_10_T_X200_09µm",242634.838633784,"1972",10,"t1","T",1,"Fe1","Fe",1,1,"T",112.014,105.709,94.197,110.069,239383.465646052
"145",145,"1973_t1-Fe1-10_Racine_X200_09µm_square.jpg","1973_t1_Fe1_10_R_X200_09µm",207239.091740141,"1973",10,"t1","T",1,"Fe1","Fe",1,1,"R",146.132,74.859,103.517,92.8,207239.091740141
"146",146,"1974_t3-Ft2-53_Tige_X200_09µm_2_square.jpg","1974_t3_Ft2_53_T_X200_09µm_2",229313.381678407,"1974",53,"t3","T",3,"Ft2","Ft",2,1,"T",221.489,189.979,209.169,264.899,219097.08860125
"147",147,"1975_t3-Ft2-53_Racine_X200_09µm_square.jpg","1975_t3_Ft2_53_R_X200_09µm",71958.9762647335,"1975",53,"t3","T",3,"Ft2","Ft",2,1,"R",90.373,64.871,95.956,106.386,67045.9121054195
"148",148,"1976_t2-Ft1-34_Tige_X200_09µm_square.jpg","1976_t2_Ft1_34_T_X200_09µm",458603.490371217,"1976",34,"t2","T",2,"Ft1","Ft",1,1,"T",133.807,221.589,173.034,344.29,405208.142617491
"149",149,"1977_t1-Ft3-18_Racine_X200_09µm_square.jpg","1977_t1_Ft3_18_R_X200_09µm",121453.224032843,"1977",18,"t1","T",1,"Ft3","Ft",3,1,"R",79.787,102.585,121.565,148.794,116560.183032843
"150",150,"1978_t2-Ft2-35_Tige_X200_09µm_square.jpg","1978_t2_Ft2_35_T_X200_09µm",245083.704318186,"1978",35,"t2","T",2,"Ft2","Ft",2,1,"T",138.749,106.899,122.498,182.055,193764.85447932
"151",151,"1979_t2-Ft2-35_Racine_X200_09µm_square.jpg","1979_t2_Ft2_35_R_X200_09µm",79615.5147261172,"1979",35,"t2","T",2,"Ft2","Ft",2,1,"R",81.907,65.786,82.189,110.633,68100.3152528512
"152",152,"1980_t3-Ho2-41_Tige_X200_09µm_square.jpg","1980_t3_Ho2_41_T_X200_09µm",160862.876442287,"1980",41,"t3","T",3,"Ho2","Ho",2,1,"T",44.155,96.127,107.835,50.175,144219.953742558
"153",153,"1981_t3-Ho2-41_Racine_X200_09µm_square.jpg","1981_t3_Ho2_41_R_X200_09µm",85565.7326435392,"1981",41,"t3","T",3,"Ho2","Ho",2,1,"R",49.192,85.921,28.785,108.864,75727.8306435392
"154",154,"1982_t1-Ho3-6_Tige_X200_09µm_square.jpg","1982_t1_Ho3_06_T_X200_09µm",439192.45138467,"1982",6,"t1","T",1,"Ho3","Ho",3,1,"T",159.134,181.064,373.281,162.75,425742.582308767
"155",155,"1983_t1-Ho2-5_Tige_X200_09µm_square.jpg","1983_t1_Ho2_05_T_X200_09µm",387858.268755293,"1983",5,"t1","T",1,"Ho2","Ho",2,1,"T",164.122,177.316,177.767,162.034,343093.912755293
"156",156,"1984_t1-Ho1-4_Tige_X200_09µm_square.jpg","1984_t1_Ho1_04_T_X200_09µm",294818.895937175,"1984",4,"t1","T",1,"Ho1","Ho",1,1,"T",185.77,255.952,209.325,374.85,287317.637937175
"157",157,"1985_t2-Ho1-22_Tige_X200_09µm_square.jpg","1985_t2_Ho1_22_T_X200_09µm",865207.464524831,"1985",22,"t2","T",2,"Ho1","Ho",1,1,"T",542.267,404.026,99.446,178.609,826541.178655318
"158",158,"1986_t2-Ho2-23_Tige_X200_11µm_square.jpg","1986_t2_Ho2_23_T_X200_11µm",221635.48683024,"1986",23,"t2","T",2,"Ho2","Ho",2,1,"T",160.989,237.328,164.325,118.781,211798.68031822
