"","X","file","id_complete","image_surface_µm2","id_amap","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ","Ring_Size_Year_2024","Ring_Size_Year_2023","Ring_Size_Year_2022","Ring_Size_Year_2021","image_surface_rectified_µm2"
"80",80,"1907_P3-Ft2-89_Racine_X200_09µm_square.jpg","1907_P3_Ft2_89_R_X200_09µm",236370.298510895,"1907",89,"P3","P",3,"Ft2","Ft",2,0,"R",326.541,142.681,167.165,91.589,224907.394805263
"81",81,"1909_T1-Ho1-1_Racine_X200_09µm_square.jpg","1909_T1_Ho1_01_R_X200_09µm",45712.7983084406,"1909",1,"T1","T",1,"Ho1","Ho",1,0,"R",31.436,56.001,49.258,53.898,44219.2202328126
"82",82,"1910_T1-Fe3-9_Tige_X200_09µm_square.jpg","1910_T1_Fe3_09_T_X200_09µm",307531.969669079,"1910",9,"T1","T",1,"Fe3","Fe",3,0,"T",176.05,122.087,176.31,119.448,300400.579282682
"83",83,"1911_T1-Fe3-9_Racine_X200_09µm_square.jpg","1911_T1_Fe3_09_R_X200_09µm",341969.143355981,"1911",9,"T1","T",1,"Fe3","Fe",3,0,"R",204.253,180.308,163.309,106.935,328348.696985648
"84",84,"1912_T2-Ho1-19_Tige_X200_09µm_square.jpg","1912_T2_Ho1_19_T_X200_09µm",660957.171734928,"1912",19,"T2","T",2,"Ho1","Ho",1,0,"T",248.162,454.406,271.626,56.537,660957.171734928
"85",85,"1913_T1-Ho1-19_Racine_X200_09µm_square.jpg","1913_T1_Ho1_19_R_X200_09µm",953053.402157155,"1913",19,"T1","T",1,"Ho1","Ho",1,0,"R",179.438,234.512,410.665,600.765,866014.006157155
"86",86,"1914_T1-Fe1-7_Tige_X200_09µm_square.jpg","1914_T1_Fe1_07_T_X200_09µm",993305.262845359,"1914",7,"T1","T",1,"Fe1","Fe",1,0,"T",347.226,320.382,118.584,174.431,929140.272556943
"87",87,"1915_T1-Fe1-7_Racine_X200_09µm_square.jpg","1915_T1_Fe1_07_R_X200_09µm",451642.67727925,"1915",7,"T1","T",1,"Fe1","Fe",1,0,"R",276.58,256.922,86.733,140.899,439371.516473847
"88",88,"1916_T1-Ho3-3_Tige_X200_09µm_square.jpg","1916_T1_Ho3_03_T_X200_09µm",229623.870686246,"1916",3,"T1","T",1,"Ho3","Ho",3,0,"T",115.242,69.629,84.772,173.738,222217.859069812
"89",89,"1917_T1-Ho3-3_Racine_X200_09µm_square.jpg","1917_T1_Ho3_03_R_X200_09µm",210107.418764939,"1917",3,"T1","T",1,"Ho3","Ho",3,0,"R",112.419,47.851,105.907,168.807,210107.418764939
"90",90,"1918_F1-Ft2-59_Tige_X200_09µm_square.jpg","1918_F1_Ft2_59_T_X200_09µm",201995.277385527,"1918",59,"F1","F",1,"Ft2","Ft",2,0,"T",245.008,310.252,104.955,77.425,196641.943098695
"91",91,"1919_F1-Ft2-59_Racine_X200_09µm_square.jpg","1919_F1_Ft2_59_R_X200_09µm",236155.639443747,"1919",59,"F1","F",1,"Ft2","Ft",2,0,"R",242.79,167.835,107.819,196.322,232105.044750652
"92",92,"1920_T1-Ft2-14_Tige_X200_09µm_square.jpg","1920_T1_Ft2_14_T_X200_09µm",200106.058554761,"1920",14,"T1","T",1,"Ft2","Ft",2,0,"T",29.29,39.552,187.253,420.074,185344.414490713
"93",93,"1921_T1-Ft2-14_Racine_X200_09µm_square.jpg","1921_T1_Ft2_14_R_X200_09µm",384799.377048435,"1921",14,"T1","T",1,"Ft2","Ft",2,0,"R",51.625,241.797,146.506,183.33,313165.40118256
"94",94,"1922_T3-Ft1-49_Tige_X200_09µm_square.jpg","1922_T3_Ft1_49_T_X200_09µm",372907.155208507,"1922",49,"T3","T",3,"Ft1","Ft",1,0,"T",279.819,574.755,140.381,208.334,345861.207947189
"95",95,"1923_T3-Ft1-49_Racine_X200_09µm_square.jpg","1923_T3_Ft1_49_R_X200_09µm",189000.737427822,"1923",49,"T3","T",3,"Ft1","Ft",1,0,"R",140.378,48.324,91.76,158.894,162216.269004675
"96",96,"1924_T2-Ho2-20_Tige_X200_09µm_square.jpg","1924_T2_Ho2_20_T_X200_09µm",1379951.145951,"1924",20,"T2","T",2,"Ho2","Ho",2,0,"T",281.775,532.844,252.048,241.62,1256748.88860063
"97",97,"1925_T2-Ho2-20_Racine_X200_09µm_square.jpg","1925_T2_Ho2_20_R_X200_09µm",941067.266975351,"1925",20,"T2","T",2,"Ho2","Ho",2,0,"R",158.375,395.654,313.979,284.668,899299.650425245
"98",98,"1926_T2-Ho3-21_Tige_X200_09µm_square.jpg","1926_T2_Ho3_21_T_X200_09µm",283367.491824426,"1926",21,"T2","T",2,"Ho3","Ho",3,0,"T",263.745,125.593,131.868,95.238,273925.230868222
"99",99,"1927_T2-Ho3-21_Racine_X200_09µm_square.jpg","1927_T2_Ho3_21_R_X200_09µm",309634.752367671,"1927",21,"T2","T",2,"Ho3","Ho",3,0,"R",202.403,121.767,159.299,99.43,293181.299150681
"100",100,"1928_T2-Ft1-31_Tige_X200_09µm_square.jpg","1928_T2_Ft1_31_T_X200_09µm",248969.471513292,"1928",31,"T2","T",2,"Ft1","Ft",1,0,"T",120.47,182.404,117.01,143.442,216214.797785094
"101",101,"1929_T2-Ft1-31_Racine_X200_09µm_square.jpg","1929_T2_Ft1_31_R_X200_09µm",234387.987737743,"1929",31,"T2","T",2,"Ft1","Ft",1,0,"R",120.056,150.739,161.817,228.153,214454.264874684
"102",102,"1930_T3-Ft2-50_Tige_X200_09µm_square.jpg","1930_T3_Ft2_50_T_X200_09µm",530488.266881873,"1930",50,"T3","T",3,"Ft2","Ft",2,0,"T",191.934,552.594,213.698,231.394,499243.325419305
"103",103,"1931_T3-Ft2-50_Racine_X200_09µm_square.jpg","1931_T3_Ft2_50_R_X200_09µm",378558.931310635,"1931",50,"T3","T",3,"Ft2","Ft",2,0,"R",143.835,225.558,323.2,236.06,358020.384621901
"104",104,"1932_T3-Ho3-39_Tige_X200_09µm_square.jpg","1932_T3_Ho3_39_T_X200_09µm",711853.274635432,"1932",39,"T3","T",3,"Ho3","Ho",3,0,"T",308.249,178.225,160.402,782.837,701995.65933629
"105",105,"1933_T3-Ho3-39_Racine_X200_09µm_square.jpg","1933_T3_Ho3_39_R_X200_09µm",99356.4825084717,"1933",39,"T3","T",3,"Ho3","Ho",3,0,"R",34.074,109.412,95.238,54.432,93808.2027422907
"106",106,"1934_T3-Fe2-44_Tige_X200_09µm_square.jpg","1934_T3_Fe2_44_T_X200_09µm",164302.897513265,"1934",44,"T3","T",3,"Fe2","Fe",2,0,"T",71.692,210.455,172.162,169.574,157094.569374485
"107",107,"1935_T3-Fe2-44_Racine_X200_09µm_square.jpg","1935_T3_Fe2_44_R_X200_09µm",199694.26360962,"1935",44,"T3","T",3,"Fe2","Fe",2,0,"R",101.519,185.767,152.8,139.968,190400.949761233
"108",108,"1936_F1-Ft1-58_Tige_X200_09µm_square.jpg","1936_F1_Ft1_58_T_X200_09µm",213892.427622404,"1936",58,"F1","F",1,"Ft1","Ft",1,0,"T",255.39,256.419,231.293,NA,199377.751005508
"109",109,"1937_F1-Ft1-58_Racine_X200_09µm_square.jpg","1937_F1_Ft1_58_R_X200_09µm",288823.774847543,"1937",58,"F1","F",1,"Ft1","Ft",1,0,"R",311.672,181.227,147.883,201.658,267432.341686659
"110",110,"1938_T3-Fe1-43_Tige_X200_09µm_square.jpg","1938_T3_Fe1_43_T_X200_09µm",607449.566050678,"1938",43,"T3","T",3,"Fe1","Fe",1,0,"T",232.678,253.234,111.471,241.886,562259.72541858
"111",111,"1939_T3-Fe1-43_Racine_X200_09µm_square.jpg","1939_T3_Fe1_43_R_X200_09µm",477693.088356703,"1939",43,"T3","T",3,"Fe1","Fe",1,0,"R",222.726,260.828,182.347,247.321,458096.960684707
"112",112,"1940_P3-Fe3-87_Tige_X200_09µm_square.jpg","1940_P3_Fe3_87_T_X200_09µm",401048.301792008,"1940",87,"P3","P",3,"Fe3","Fe",3,0,"T",218.839,205.801,210.901,125.687,379099.412176132
"113",113,"1941_P3-Fe3-87_Racine_X200_09µm_square.jpg","1941_P3_Fe3_87_R_X200_09µm",457010.249157271,"1941",87,"P3","P",3,"Fe3","Fe",3,0,"R",277.905,154.046,274.797,139.753,443147.216137075
"114",114,"1942_P2-Ft3-84_Tige_X200_09µm_square.jpg","1942_P2_Ft3_84_T_X200_09µm",202202.270057419,"1942",84,"P2","P",2,"Ft3","Ft",3,0,"T",96.922,110.493,146.524,101.043,178406.052984851
