"","file","id_complete","image_surface_µm2","id_amap","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ","Ring_Size_Year_2024","Ring_Size_Year_2023","Ring_Size_Year_2022","Ring_Size_Year_2021"
"88","1916_T1-Ho3-3_Tige_X200_09µm_square.jpg","1916_T1_Ho3_03_T_X200_09µm",229623.870686246,"1916","03","T1","T","1","Ho3","Ho","3",0,"T",115.242,69.629,84.772,173.738
"89","1917_T1-Ho3-3_Racine_X200_09µm_square.jpg","1917_T1_Ho3_03_R_X200_09µm",210107.418764939,"1917","03","T1","T","1","Ho3","Ho","3",0,"R",112.419,47.851,105.907,168.807
"90","1918_F1-Ft2-59_Tige_X200_09µm_square.jpg","1918_F1_Ft2_59_T_X200_09µm",201995.277385527,"1918","59","F1","F","1","Ft2","Ft","2",0,"T",245.008,310.252,104.955,77.425
"91","1919_F1-Ft2-59_Racine_X200_09µm_square.jpg","1919_F1_Ft2_59_R_X200_09µm",236155.639443747,"1919","59","F1","F","1","Ft2","Ft","2",0,"R",242.79,167.835,107.819,196.322
"92","1920_T1-Ft2-14_Tige_X200_09µm_square.jpg","1920_T1_Ft2_14_T_X200_09µm",200106.058554761,"1920","14","T1","T","1","Ft2","Ft","2",0,"T",29.29,39.552,187.253,420.074
"93","1921_T1-Ft2-14_Racine_X200_09µm_square.jpg","1921_T1_Ft2_14_R_X200_09µm",384799.377048435,"1921","14","T1","T","1","Ft2","Ft","2",0,"R",51.625,241.797,146.506,183.33
"94","1922_T3-Ft1-49_Tige_X200_09µm_square.jpg","1922_T3_Ft1_49_T_X200_09µm",372907.155208507,"1922","49","T3","T","3","Ft1","Ft","1",0,"T",279.819,574.755,140.381,208.334
"95","1923_T3-Ft1-49_Racine_X200_09µm_square.jpg","1923_T3_Ft1_49_R_X200_09µm",189000.737427822,"1923","49","T3","T","3","Ft1","Ft","1",0,"R",140.378,48.324,91.76,158.894
"96","1924_T2-Ho2-20_Tige_X200_09µm_square.jpg","1924_T2_Ho2_20_T_X200_09µm",1379951.145951,"1924","20","T2","T","2","Ho2","Ho","2",0,"T",281.775,532.844,252.048,241.62
"97","1925_T2-Ho2-20_Racine_X200_09µm_square.jpg","1925_T2_Ho2_20_R_X200_09µm",941067.266975351,"1925","20","T2","T","2","Ho2","Ho","2",0,"R",158.375,395.654,313.979,284.668
"98","1926_T2-Ho3-21_Tige_X200_09µm_square.jpg","1926_T2_Ho3_21_T_X200_09µm",283367.491824426,"1926","21","T2","T","2","Ho3","Ho","3",0,"T",263.745,125.593,131.868,95.238
"99","1927_T2-Ho3-21_Racine_X200_09µm_square.jpg","1927_T2_Ho3_21_R_X200_09µm",309634.752367671,"1927","21","T2","T","2","Ho3","Ho","3",0,"R",202.403,121.767,159.299,99.43
"100","1928_T2-Ft1-31_Tige_X200_09µm_square.jpg","1928_T2_Ft1_31_T_X200_09µm",248969.471513292,"1928","31","T2","T","2","Ft1","Ft","1",0,"T",120.47,182.404,117.01,143.442
"101","1929_T2-Ft1-31_Racine_X200_09µm_square.jpg","1929_T2_Ft1_31_R_X200_09µm",234387.987737743,"1929","31","T2","T","2","Ft1","Ft","1",0,"R",120.056,150.739,161.817,228.153
"102","1930_T3-Ft2-50_Tige_X200_09µm_square.jpg","1930_T3_Ft2_50_T_X200_09µm",530488.266881873,"1930","50","T3","T","3","Ft2","Ft","2",0,"T",191.934,552.594,213.698,231.394
"103","1931_T3-Ft2-50_Racine_X200_09µm_square.jpg","1931_T3_Ft2_50_R_X200_09µm",378558.931310635,"1931","50","T3","T","3","Ft2","Ft","2",0,"R",143.835,225.558,323.2,236.06
"104","1932_T3-Ho3-39_Tige_X200_09µm_square.jpg","1932_T3_Ho3_39_T_X200_09µm",711853.274635432,"1932","39","T3","T","3","Ho3","Ho","3",0,"T",308.249,178.225,160.402,782.837
"105","1933_T3-Ho3-39_Racine_X200_09µm_square.jpg","1933_T3_Ho3_39_R_X200_09µm",99356.4825084717,"1933","39","T3","T","3","Ho3","Ho","3",0,"R",34.074,109.412,95.238,54.432
"106","1934_T3-Fe2-44_Tige_X200_09µm_square.jpg","1934_T3_Fe2_44_T_X200_09µm",164302.897513265,"1934","44","T3","T","3","Fe2","Fe","2",0,"T",71.692,210.455,172.162,169.574
