"","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","diam_tig_princip_mm","diam_tig_lat_mm","diam_rac_pivot_mm","diam_rac_lat_mm","conicite_mm","empreinte_mm","empreinte_photo_mm","x_mm","y_mm","y_photo_mm","prof_pivot_mm","axes_caul_totaux","axes_caul_morts","axes_caul_inflo","axes_rac_lat","inclinaison_axe_principal","complex_rac","aire_conic","tig_ratio","rac_ratio","surface","inflo","ring_length_µm_R_2021","ring_length_µm_R_2022","ring_length_µm_R_2023","ring_length_µm_R_2024","ring_length_µm_T_2021","ring_length_µm_T_2022","ring_length_µm_T_2023","ring_length_µm_T_2024","mean_vessel_size_µm2_R_2021","mean_vessel_size_µm2_R_2022","mean_vessel_size_µm2_R_2023","mean_vessel_size_µm2_R_2024","mean_vessel_size_µm2_T_2021","mean_vessel_size_µm2_T_2022","mean_vessel_size_µm2_T_2023","mean_vessel_size_µm2_T_2024","sum_vessel_area_µm2_R_2021","sum_vessel_area_µm2_R_2022","sum_vessel_area_µm2_R_2023","sum_vessel_area_µm2_R_2024","sum_vessel_area_µm2_T_2021","sum_vessel_area_µm2_T_2022","sum_vessel_area_µm2_T_2023","sum_vessel_area_µm2_T_2024","vessel_density_per_mm2_R_2021","vessel_density_per_mm2_R_2022","vessel_density_per_mm2_R_2023","vessel_density_per_mm2_R_2024","vessel_density_per_mm2_T_2021","vessel_density_per_mm2_T_2022","vessel_density_per_mm2_T_2023","vessel_density_per_mm2_T_2024","vessel_area_R_2021","vessel_area_R_2022","vessel_area_R_2023","vessel_area_R_2024","vessel_area_T_2021","vessel_area_T_2022","vessel_area_T_2023","vessel_area_T_2024","Kth_R_2021","Kth_R_2022","Kth_R_2023","Kth_R_2024","Kth_T_2021","Kth_T_2022","Kth_T_2023","Kth_T_2024"
"11","11","t1","T",1,"Fe2","Fe",2,1,7.61,5.43,7.02,4.8,22,245,275,260,145,145,43,2,0,1,5,0,NA,154.44,0.71353482260184,0.683760683760684,39875,0.5,176.92,128.745,106.935,284.825,107.671,108.17,135.947,96.336,187.455895833333,237.48768852459,294.157725490196,229.678538888889,189.618114285714,196.953407407407,159.529790697674,274.677558823529,8997.883,14486.749,15002.044,41342.137,6636.634,5317.742,6859.781,9339.037,468.235245028027,597.066257811118,453.175738705014,604.079214924014,840.051348677556,588.153609128408,727.395437007547,714.851652052309,0.0877734573174692,0.14179588546359,0.133305144544806,0.138744031456895,0.159288952639409,0.115838857396804,0.116041241820257,0.196353706706695,0.835169730450531,1.83541419320175,2.04916410066875,1.64057475914901,1.50303738015836,1.20921824528897,0.870559753131238,3.29166269980071
"12","12","t1","T",1,"Fe3","Fe",3,1,4.12,2.18,3.35,1.4,27,279,350,315,257,227,35,6,0,6,2,0,6,90.45,0.529126213592233,0.417910447761194,79450,1,147.567,108.969,172.799,189.476,108.844,159.299,120.356,214.558,202.036423728814,241.204317073171,197.131120689655,219.255816901408,158.839444444444,147.828536585366,148.197307692308,173.149333333333,11920.149,9889.377,11433.605,15567.163,8577.33,12121.94,9632.825,17141.784,626.999373276919,598.872326651712,563.832565610094,547.077263632543,666.289557134978,788.126510877021,700.912332092576,618.088422332226,0.126676711057076,0.144450590564047,0.111148945540041,0.11994987234594,0.105833063094455,0.11650758874708,0.103873320544456,0.107021598267877,1.2315598803929,1.79064601213871,1.0703917038407,1.35652909187522,0.789961708020701,0.877747493465062,0.780283876385101,0.884738544097285
"13","13","T1","T",1,"Ft1","Ft",1,0,8.24,3.87,8.33,3.54,27,187,177,187,124,NA,53,3,0,3,3,1,4,224.91,0.469660194174757,0.424969987995198,NA,1,53.501,116.377,49.158,76.459,87.937,166.405,107.275,66.466,431.750176470588,398.1049375,371.566,438.554266666667,191.386181818182,258.212857142857,260.091666666667,221.152,7339.753,6369.679,5201.924,13156.628,2105.248,3614.98,3901.375,1548.064,663.012752131986,539.314211602535,623.64000620473,622.141641883973,658.568852252059,535.825743661087,888.393320825606,540.555722100278,0.286255872735235,0.214703650502889,0.231723422545467,0.272842871519222,0.126040978096904,0.138357096201425,0.231063699469066,0.119544979053921,6.53390652629278,4.69020753755497,4.38567717954137,7.07120674041308,1.47934639603124,2.33066775377607,3.39031296763408,1.39232303714757
"14","14","T1","T",1,"Ft2","Ft",2,0,12.53,4.09,11.26,2.37,17,177,135,177,104,110,15,5,0,4,4,0,7,191.42,0.326416600159617,0.210479573712256,14850,0.8,183.33,146.506,241.797,51.625,420.074,187.253,39.552,29.29,226.498014084507,229.954545454545,221.382358024691,251.422,153.214620689655,144.147125,145.303461538462,153.9028,16081.359,10118,17931.971,6536.972,8886.448,4612.708,1888.945,1539.028,795.572056159749,622.858930844125,778.912870366562,669.542557131116,505.500650850116,698.725402843033,1065.81536508422,878.358691203434,0.180195490781311,0.143229242324565,0.17243756793753,0.168337728799019,0.0774500904783744,0.10071925798429,0.154866661907616,0.135181861980544,2.01650899587588,1.52654677521108,1.8321123120726,1.99704818179022,0.653902409156523,0.677850949403397,0.965123726383202,1.1434284545355
"15","15","T1","T",1,"Ft1","Ft",1,0,8.24,4.47,6.64,3.68,32,66,146,66,203,180,32,2,0,2,1,0,6,212.48,0.54247572815534,0.55421686746988,26280,1,83.858,217.227,247.528,28.277,132.495,229.738,187.46,42.913,225.659411764706,181.591402061856,239.120894736842,202.958866666667,130.508685714286,131.477180555556,150.133614035088,97.6858333333333,7672.42,17614.366,18173.188,3044.383,4567.804,9466.357,8557.616,1758.345,957.936849258831,1367.89855798567,738.145123917654,948.814488241032,857.072265513077,933.138264892027,932.260748000025,1076.81092642217,0.216167465911484,0.248398617023008,0.176505922476827,0.192570313210313,0.111855374934277,0.122686388136507,0.139963675320298,0.105189172689988,2.29651223775496,2.55536862060984,2.07614436871011,1.99757513455284,0.668749770908198,0.79453694887841,1.0120282642539,0.432965351797286
"16","16","t1","T",1,"Ft1","Ft",1,1,13.39,3.18,10.72,7.87,15.57,135,153,205,27,NA,24,8,0,5,2,1,8,166.9104,0.237490664675131,0.734141791044776,NA,0.625,195.888,112.517,194.866,156.207,438.870284129559,289.3710428549,229.664591073204,170.758725341426,221.139,185.505347826087,188.716583333333,197.255256410256,119.10841,154.953604166667,152.817247191011,142.769857142857,7961.004,4266.623,9058.396,7692.955,11910.841,14875.546,13600.735,13991.446,611.332341004806,761.572538518379,712.201573004247,672.460090866488,558.840670566356,649.161303517816,671.000912260221,674.766264275081,0.135189422557462,0.141275778652648,0.134404247501987,0.132646287649533,0.0665626237144925,0.100589883665617,0.102540512274264,0.0963362831553728,1.98734271214243,1.29345917014834,1.27177896681464,1.30687072608857,0.38689298116156,0.770615635938074,0.825228267471287,0.653357388588198
"17","17","t1","T",1,"Ft2","Ft",2,1,7.57,6.61,5.37,3.46,33,203,208,203,116,198,66,2,0,2,3,0,6,177.21,0.873183619550859,0.644320297951583,41184,1,91.747,50.412,164.365,45.03,360.201,101.256,286.161,97.366,130.237444444444,114.4484,138.323763636364,161.828090909091,136.016709677419,120.794,128.731518518519,131.508230769231,4688.548,1144.484,7607.807,3560.218,8433.036,2053.498,6951.502,1709.607,1069.706014339,806.889195536144,1151.6243151116,924.229584279689,676.72638039958,650.263954741096,717.949700297699,469.73565783415,0.139315777614364,0.0923471774063989,0.159297009561386,0.149566309185685,0.0920460956138605,0.0785479841489959,0.0924227551392381,0.0617741052909898,0.816363946856984,0.427791061431573,1.0045137423451,1.11285157280663,0.577362365326909,0.451850835695228,0.530846514020936,0.374688190407711
"18","18","t1","T",1,"Ft3","Ft",3,1,8.62,6.13,6.75,4.44,18.6,125,162,175,61,128,29,5,0,3,3,0,6,125.55,0.711136890951276,0.657777777777778,20736,0.6,131.927685626079,124.399037203705,170.081105122704,124.535607765161,NA,NA,NA,NA,188.298222222222,187.401793103448,155.143823529412,166.703255319149,NA,NA,NA,NA,10168.104,10869.304,10549.78,7835.053,NA,NA,NA,NA,874.023926634464,1054.02954258802,783.518687655442,669.319062786498,NA,NA,NA,NA,0.164577151564956,0.197527026265002,0.121558085009612,0.111577666613671,NA,NA,NA,NA,1.46351555759819,1.84402243213924,0.875094732186678,0.900495031487196,NA,NA,NA,NA
"19","19","T1","T",1,"Ho3","Ho",3,0,6.39,2.85,5.23,3.38,21,95,156,178,18,44,8,5,0,5,2,0,6,109.83,0.446009389671362,0.646271510516252,6864,1,600.765,410.665,234.512,179.438,56.537,271.626,454.406,248.162,143.738464566929,173.62693495935,169.94284137931,184.34580620155,152.827257142857,178.967444444444,163.770466898955,158.752357142857,54764.355,42712.226,24641.712,23780.609,5348.954,30603.433,47002.124,24447.863,1052.27429074014,1009.28281651852,1097.85639093072,1040.51924585518,1015.90740512864,1045.22143359588,990.536067290749,905.173172470125,0.151252290854242,0.17523868193925,0.186572834501201,0.191815359245402,0.155258342236927,0.187060608849213,0.16222055422046,0.14369837475211,0.998911637982079,1.48336067085164,1.52679468773864,1.80501825964993,1.07012263081287,1.58160421294498,1.26767659584238,1.20997262702279
"20","20","T2","T",2,"Ho2","Ho",2,0,7.16,3.04,5.7,2.28,10,115,147,177,17,NA,19,17,6,2,2,1,8,57,0.424581005586592,0.4,NA,0.117647058823529,284.668,313.979,395.654,158.375,241.62,252.048,532.844,281.775,147.222371710526,137.29062601626,149.753155507559,160.937215827338,130.676169811321,145.712967346939,123.541699173554,140.393435185185,44755.601,33773.494,69335.711,22370.273,27703.348,35699.677,74742.728,45487.473,1422.20730501183,1056.12491671224,1442.64241350113,1310.40732694083,953.996399350966,938.750632745717,1182.61090885838,1273.87410136508,0.209380732507878,0.144996050966794,0.216040253690835,0.210893306797601,0.124664595480975,0.136788140296195,0.146101761141545,0.178843561084084,1.44841228879529,0.880065649773756,1.57822013557844,1.6219778299988,0.754935241904505,0.91506436077882,0.816376686050381,1.17904543016027
