"","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","diam_tig_princip_mm","diam_tig_lat_mm","diam_rac_pivot_mm","diam_rac_lat_mm","conicite_mm","empreinte_mm","empreinte_photo_mm","x_mm","y_mm","y_photo_mm","prof_pivot_mm","axes_caul_totaux","axes_caul_morts","axes_caul_inflo","axes_rac_lat","inclinaison_axe_principal","complex_rac","aire_conic","tig_ratio","rac_ratio","surface","inflo","ring_length_µm_R_2021","ring_length_µm_R_2022","ring_length_µm_R_2023","ring_length_µm_R_2024","ring_length_µm_T_2021","ring_length_µm_T_2022","ring_length_µm_T_2023","ring_length_µm_T_2024","mean_vessel_size_µm2_R_2021","mean_vessel_size_µm2_R_2022","mean_vessel_size_µm2_R_2023","mean_vessel_size_µm2_R_2024","mean_vessel_size_µm2_T_2021","mean_vessel_size_µm2_T_2022","mean_vessel_size_µm2_T_2023","mean_vessel_size_µm2_T_2024","sum_vessel_area_µm2_R_2021","sum_vessel_area_µm2_R_2022","sum_vessel_area_µm2_R_2023","sum_vessel_area_µm2_R_2024","sum_vessel_area_µm2_T_2021","sum_vessel_area_µm2_T_2022","sum_vessel_area_µm2_T_2023","sum_vessel_area_µm2_T_2024","vessel_density_per_mm2_R_2021","vessel_density_per_mm2_R_2022","vessel_density_per_mm2_R_2023","vessel_density_per_mm2_R_2024","vessel_density_per_mm2_T_2021","vessel_density_per_mm2_T_2022","vessel_density_per_mm2_T_2023","vessel_density_per_mm2_T_2024","vessel_area_R_2021","vessel_area_R_2022","vessel_area_R_2023","vessel_area_R_2024","vessel_area_T_2021","vessel_area_T_2022","vessel_area_T_2023","vessel_area_T_2024","Kth_R_2021","Kth_R_2022","Kth_R_2023","Kth_R_2024","Kth_T_2021","Kth_T_2022","Kth_T_2023","Kth_T_2024"
"31","31","T2","T",2,"Ft1","Ft",1,0,9.55,6.89,9.49,5.18,24.11,NA,317,317,138,194,71,3,0,3,5,0,5,228.8039,0.721465968586387,0.545837723919916,61498,1,228.153,161.817,150.739,120.056,143.442,117.01,182.404,120.47,248.346436363636,243.548702702703,246.687386363636,226.989821428571,204.533436363636,246.302514285714,226.935218181818,245.613216216216,13659.054,9011.302,10854.245,6355.715,11249.339,8620.588,12481.437,9087.689,702.230964582725,800.621009471613,808.926522743438,809.90027328933,995.661405186276,879.842863792622,830.346833516705,670.011150906751,0.174396557558319,0.19499020821334,0.199551969655803,0.183839118408896,0.203646048657396,0.216707509528466,0.188434939830695,0.164563593674936,2.20047715175485,2.64932148285255,2.40204401829562,2.27079702619867,2.04679717716378,2.53420060925922,2.02313428134198,2.02762080074757
"32","32","T2","T",2,"Ft2","Ft",2,0,5.27,3.74,4.83,2.93,22,NA,131,146,117,128,29,2,0,2,3,0,4,106.26,0.709677419354839,0.606625258799172,16768,1,101.497,65.87,131.754,63.424,192.456,99.622,130.504,178.505,143.6901,132.63325,153.916037037037,170.577166666667,121.188553191489,126.60515,124.54475,144.4979,2873.802,1591.599,4155.733,2046.926,5695.862,2532.103,2989.074,2889.958,981.366693201481,940.023155450468,873.277024857892,628.047075556196,999.314530784097,672.275231422384,559.847197051535,584.036771398331,0.14101267828279,0.124678326182651,0.134411338901621,0.107130490681662,0.121105482168957,0.0851135065155156,0.0697260291949842,0.0843920869898388,0.892057665993842,0.744392659089093,0.968677110039508,0.831455786428891,0.706370346045809,0.48819342233155,0.403325263277033,0.581239019446373
"33","33","T2","T",2,"Ft3","Ft",3,0,6.68,3.94,6.5,3.99,19,127,109,127,NA,51,22,3,0,3,3,0,3,123.5,0.589820359281437,0.613846153846154,5559,1,195.989,97.691,332.891,167.465,NA,NA,NA,NA,206.03434375,232.328266666667,174.469509803922,197.778269230769,NA,NA,NA,NA,6593.099,3484.924,8897.945,5142.235,NA,NA,NA,NA,661.364567095656,524.962369556719,567.506231390721,500.492189471525,NA,NA,NA,NA,0.136263814561056,0.121963597384339,0.09901253400141,0.0989864789971964,NA,NA,NA,NA,1.41521237735992,1.50154629666387,0.891851703020505,0.952876250487864,NA,NA,NA,NA
"34","34","t2","T",2,"Ft1","Ft",1,1,10.56,7.81,9.43,5.38,38,210,201,210,NA,121,30,2,0,2,2,0,6,358.34,0.739583333333333,0.570519618239661,24321,1,NA,NA,NA,NA,344.29,173.034,221.589,133.807,NA,NA,NA,NA,164.345450704225,165.310210526316,151.581567567568,184.084740740741,NA,NA,NA,NA,11668.527,6281.788,5608.518,4970.288,NA,NA,NA,NA,425.07487629426,469.666947247164,399.952700204791,428.49712600524,NA,NA,NA,NA,0.069859122127623,0.0776407419266808,0.0606254572499237,0.0788797823488271,NA,NA,NA,NA,0.531916111966254,0.69108627953715,0.456801496902451,0.665050098938397
"35","35","t2","T",2,"Ft2","Ft",2,1,10.24,5.68,8.94,6.82,9,125,121,210,40,88,169,3,0,1,2,0,5,80.46,0.5546875,0.762863534675615,10648,0.333333333333333,110.633,82.189,65.786,81.907,182.055,122.498,106.899,138.749,73.254,81.8030769230769,74.1998888888889,79.9746363636364,142.010761904762,154.980925925926,181.504409090909,203.8545,805.794,1063.44,667.799,879.721,2982.226,4184.485,3993.097,5300.217,681.850877154478,795.76210275759,658.652826692249,508.883492947312,408.27407209399,552.52661467911,538.391810646706,500.642590957569,0.0499483041550742,0.0650957885043486,0.0488719665569175,0.0406977722999184,0.0579793120440273,0.0856310863416857,0.0977204874508149,0.10205824505836,0.148462720667755,0.226041809324377,0.145268552524422,0.139275808082038,0.355305450513162,0.66873962643883,0.877900535547072,1.57387000510267
"36","36","t2","T",2,"Ft3","Ft",3,1,10.71,5.85,6.35,5.02,20,87,77,130,89,71,93,3,0,3,0,1,3,127,0.546218487394958,0.790551181102362,5467,1,NA,NA,415.013,181.413,133.171,127.699,92.635,74.859,NA,NA,279.826158415842,291.605983333333,180.575212121212,142.67168,149.3664375,146.756638888889,NA,NA,28262.442,17496.359,5958.982,3566.792,4779.726,5283.239,NA,NA,424.194147285776,732.403947950548,845.778736372519,759.88332015268,923.493956465695,900.426063183404,NA,NA,0.118700618657462,0.213573373439335,0.152726674728078,0.108413829890161,0.137939002330061,0.132143502600751,NA,NA,1.86341153249093,3.71616932440695,1.31700434422767,0.677050804709705,0.922932918005827,0.90868891729359
"37","37","T3","T",3,"Ho1","Ho",1,0,6.92,5.01,4.83,2.28,40,60,123,134,88,NA,11,4,0,3,4,0,5,193.2,0.723988439306358,0.472049689440994,NA,0.75,120.011,57.383,136.296,65.48,178.971,268.45,386.185,216.646,157.336735849057,115.168114285714,125.487666666667,151.075272727273,119.548939393939,126.619022670025,123.775701078582,134.460018987342,8338.847,4030.884,8658.649,6647.312,31560.92,50267.752,80330.43,42489.366,1208.56400301264,1580.14547488348,1335.81186871553,1385.57137543173,1309.8446032279,1283.69960359753,1339.30345092858,1156.11054665188,0.190151515298678,0.181982374639435,0.167627914510751,0.209325573426452,0.15659053308677,0.162540789209418,0.16577322359565,0.155450646054278,1.48187689148484,0.878979063679871,0.987124351060464,1.41073406413037,0.831466067499934,0.937740157812339,0.920961154302892,0.936041408926541
"38","38","T3","T",3,"Ho2","Ho",2,0,6.16,3.03,4.31,2.36,24,130,150,195,22,103,16,4,0,3,3,1,7,103.44,0.491883116883117,0.547563805104408,15450,0.75,96.859,72.221,76.968,73.307,158.626,177.505,398.747,216.646,234.456923076923,358.717,302.4941,184.221583333333,187.27208974359,173.089130434783,146.190888888889,159.6703,3047.94,2511.019,3024.941,2210.659,14607.223,15924.2,32892.95,22353.842,1268.63527751812,881.408057985493,1221.5469660576,1359.7554993025,1002.13404112202,1077.23396014442,1094.97411657439,1243.63059867086,0.297440323673736,0.316176054336382,0.369510750105324,0.250496311027714,0.18767173608411,0.186457489436215,0.160075239412335,0.198570870778955,3.62079773275358,4.76414893155538,5.12563521048483,2.26559912718994,1.91976563568163,1.48636836113355,1.23309787082793,1.93345461071672
"39","39","T3","T",3,"Ho3","Ho",3,0,4.73,1.38,3.2,2.01,23,185,152,327,15,67,18,13,0,8,5,1,7,73.6,0.291754756871036,0.628125,10184,0.615384615384615,54.432,95.238,109.412,34.074,782.837,160.402,178.225,308.249,192.463,213.113451612903,277.515785714286,153.811117647059,131.090738095238,119.432101010101,170.41173255814,136.626109489051,2886.945,6606.517,7770.442,2614.789,49552.299,11823.778,14655.409,18717.777,1009.3882862339,1161.26891667871,912.057895359412,841.225283860877,1010.33675362795,1234.56450444354,1020.59421905146,854.869782626197,0.194269897733436,0.247482027084178,0.253110463447585,0.129389801103606,0.132445790757835,0.147446632598186,0.173921229107381,0.116797532519968,1.64901155849297,2.60426560396099,4.22922834560436,0.917206426053258,0.811039549179269,0.791736521404735,1.48350202667354,0.77196832719749
"40","40","t3","T",3,"Ho1","Ho",1,1,4.1,1.46,3.96,1.81,27,160,119,225,17,NA,37,26,7,9,2,0,6,106.92,0.35609756097561,0.457070707070707,NA,0.346153846153846,114.153,129.358,218.739,106.239,475.833,42.502,118.251,220.032,187.456702702703,235.441058823529,220.401042857143,212.27975862069,121.3447771261,131.473153846154,127.586986486486,129.615380952381,6935.898,12007.494,15428.073,6156.113,41378.569,5127.453,9441.437,19053.461,1433.14160804848,1087.14091233314,1184.31860240764,1256.47164830172,1129.83107647061,1435.07522166482,1070.90388350262,949.531013401853,0.268652000350817,0.255957607490092,0.261025055045758,0.26672349821523,0.137099100164467,0.188673865398742,0.136633399312774,0.123073824028181,2.78408547714496,2.75460512805876,3.22277301825313,3.31995649757484,0.812375725919408,1.07578377178303,0.794346602266643,0.95421322974305
"41","41","t3","T",3,"Ho2","Ho",2,1,4.07,1.61,2.97,1.65,24,68,117,227,17,52,46,6,0,6,6,0,6,71.28,0.395577395577396,0.555555555555555,6084,1,108.864,28.785,85.921,49.192,50.175,107.835,96.127,44.155,71.7355,81.9835714285714,83.72575,87.0683636363636,120.20914,115.789397727273,112.401009950249,116.503548780488,143.471,573.885,2009.418,957.752,6010.457,10189.467,22592.603,19106.582,152.640392860514,478.838071448727,776.879153371577,656.835368107913,1105.77342393838,1182.78854755499,1411.36754198177,1388.57001830868,0.0109497349020454,0.0392568552333361,0.0650447897754003,0.0571895806796445,0.132924072326488,0.136954373560108,0.158639137129751,0.161773334863148,0.0312002278785423,0.130868807496541,0.222487531767594,0.205948618198919,0.736422547255267,0.706808395368213,0.784762880569726,0.827097932195452
"42","42","t3","T",3,"Ho3","Ho",3,1,5.77,2.43,5.08,2.62,17,156,143,249,37,NA,15,11,0,0,3,1,6,86.36,0.421143847487002,0.515748031496063,NA,0,77.037,122.467,59.657,47.622,186.186,372.728,86.471,201.242,261.715227272727,178.167,149.05664,206.828466666667,174.64410326087,158.597373401535,155.489935064935,160.093125560538,5757.735,8908.35,3726.416,3102.427,32134.515,62011.573,11972.725,35700.767,1023.36686084148,1260.75391550148,1487.55449373989,956.467527809426,1246.57999096208,1426.28054068751,1440.38918885208,1348.93879950471,0.267830690568504,0.224624742863152,0.221729874653769,0.197824712193281,0.217707844664515,0.226204347486759,0.223966021442844,0.215955828602589,4.25534902996178,1.87114401408678,1.55454218465336,1.9858451091071,1.79859743523756,1.79164545285246,1.89828774213132,1.69369528953168
"43","43","T3","T",3,"Fe1","Fe",1,0,5.31,2.08,2.47,1.21,26,118,116,145,250,232,25,6,0,6,5,1,6,64.22,0.391713747645951,0.489878542510121,26912,1,247.321,182.347,260.828,222.726,241.886,111.471,253.234,232.678,185.001602272727,172.4501,161.507253164557,201.2657,122.611433628319,116.8869375,112.354070175439,124.015235294118,16280.141,8622.505,12759.073,12075.942,13855.092,3740.382,6404.182,8433.036,735.086678270447,564.377800491303,631.950028643987,487.79976861706,676.282623354442,415.9117702826,376.918088914054,409.708382221605,0.135992213289369,0.0973270081325053,0.102064513263553,0.0981773618905506,0.0829199819874083,0.0486146530985367,0.0423482814122418,0.0508100814231847,1.25187002560261,0.919256373502409,0.873410505763141,1.0523099298204,0.468730651883039,0.256133249651194,0.247269612362536,0.293448353731246
"44","44","T3","T",3,"Fe2","Fe",2,0,3.04,1.87,1.72,1.64,39,227,191,232,190,225,52,4,0,3,2,1,5,67.08,0.615131578947368,0.953488372093023,42975,0.75,139.968,152.8,185.767,101.519,169.574,172.162,210.455,71.692,162.000970588235,113.047129411765,129.859428571429,187.735428571429,105.942967741935,140.119151515152,144.492243243243,145.807466666667,5508.033,9609.006,6363.112,3942.444,3284.232,4623.932,5346.213,2187.112,763.338048023216,1671.61564507482,839.889692108893,599.266863603126,712.124571872222,812.750398434717,693.844408200478,780.117751995599,0.12366150466669,0.188971350155504,0.109067595480294,0.112503621467189,0.0754445905460984,0.113881896222274,0.100255135002668,0.113746993120173,0.913997020037914,1.1321693599396,0.696645090060575,1.05304915060305,0.340086407705085,0.745339859591488,0.683188718383839,0.813512588156147
"45","45","T3","T",3,"Fe3","Fe",3,0,4.1,1.74,3.5,2.87,23,NA,213,213,292,260,132,9,0,8,2,1,7,80.5,0.424390243902439,0.82,55380,0.888888888888889,180.837,121.404,405.025,339.627,196.333,106.762,421.217,357.035,204.917955555556,180.608272727273,221.575086419753,257.806189655172,204.21725,215.6516875,168.562384615385,177.331729323308,9221.308,3973.382,17947.582,14952.759,8985.559,3450.427,13147.866,23585.12,639.369031074001,511.650839332101,541.793445652916,461.180516734892,636.572050573689,427.469948645996,526.974262963867,1017.41645062257,0.131018194693221,0.0924083743312301,0.120047929542201,0.118895191762626,0.12999899359502,0.0921846157810473,0.0888280383961241,0.180420218630883,1.42348482753129,0.875980662509127,1.41832691808768,1.7216095137673,1.51888643194842,1.05919687164548,0.792767667227069,2.51469794541757
"46","46","t3","T",3,"Fe1","Fe",1,1,4.15,3.3,3.24,NA,27,140,147,180,180,157,43,3,0,2,3,1,4,87.48,0.795180722891566,NA,23079,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","47","t3","T",3,"Fe2","Fe",2,1,4.44,1.91,3.8,NA,13,197,157,257,NA,103,63,3,0,1,3,0,6,49.4,0.43018018018018,NA,16171,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","48","t3","T",3,"Fe3","Fe",3,1,6.92,5.15,5.49,2.74,35,280,381,280,295,272,13,4,0,4,5,0,7,192.15,0.744219653179191,0.499089253187614,103632,1,257.476,128.815,232.368,285.772,190.271,136.587,285.732,326.715,191.456307692308,264.610375,195.845057142857,271.269272727273,214.766456,204.428987012987,202.41872392638,221.474212643678,7466.796,4233.766,6854.577,8951.886,26845.807,15741.032,32994.252,38536.513,590.375198985001,493.14630584699,577.715869292091,454.460124038927,759.803648881639,707.712736554844,678.161492662721,641.027700146041,0.11303105575078,0.130491628920037,0.113142797433845,0.123281067331586,0.163180336926178,0.144676997830096,0.137272583960797,0.141971105172632,1.20345491205061,1.82006721019001,1.39421048591134,1.72395331560537,2.0168479974842,1.69736813198023,1.57729807773129,1.85505589871433
"49","49","T3","T",3,"Ft1","Ft",1,0,7.67,5.71,7.86,2.34,9,175,180,175,201,197,17,4,0,4,3,0,5,70.74,0.744458930899609,0.297709923664122,35460,1,222.947517136728,363.155250902622,385.233635079274,313.046936319397,208.334,140.381,574.755,279.819,186.861105263158,209.698688311688,219.628790697674,217.08676,109.167177777778,99.6906333333333,108.54487755102,113.739904761905,10651.083,16146.799,18888.076,16281.507,4912.523,2990.719,10637.398,7165.614,494.208278872828,659.900946488539,570.581151301296,554.721813789323,691.098724511274,748.433001922529,622.238186252504,764.959082587488,0.0923483052203796,0.138380362894288,0.125316048255191,0.120422761256847,0.0754452973207177,0.0746117599692248,0.0675407677343471,0.0870063732002549,0.905066030355859,1.61658005724481,1.65052719317948,1.38914663837784,0.350166689494492,0.321749894399158,0.329998782044541,0.440697678437198
"50","50","T3","T",3,"Ft2","Ft",2,0,10.39,3.94,5.89,3.65,17,177,169,215,256,262,20,6,0,6,5,0,6,100.13,0.379210779595765,0.619694397283531,44278,1,236.06,323.2,225.558,143.835,231.394,213.698,552.594,191.934,226.498568965517,245.49685483871,255.468285714286,342.76456,172.65886746988,126.652493333333,151.276731843575,174.965302631579,13136.917,15220.805,16094.502,8569.114,14330.686,9498.937,27078.535,13297.363,597.695896884999,521.747986346689,626.92455070736,589.176183381737,799.264823643663,877.31919449974,812.872267835938,856.924687192061,0.135377265321014,0.128087489666542,0.160159340241408,0.20194871525932,0.138000159258828,0.111114663432584,0.122968660084496,0.14993208722703,1.46556719355213,1.67640794346025,2.16327369718655,3.32998727080779,1.11447478001752,0.631167975067591,0.965866900142838,1.56593344351525
"51","51","T3","T",3,"Ft3","Ft",3,0,7.72,3.72,5.86,2.77,22,153,158,153,295,315,43,4,0,4,3,0,6,128.92,0.481865284974093,0.472696245733788,49770,1,291.335,212.547,307.699,225.624,310.848,257.669,446.116,213.814,249.593017857143,198.073765957447,210.320097222222,243.870928571429,101.648166666667,80.3212142857143,113.791272727273,135.812189189189,13977.209,9309.467,15143.047,10242.579,1219.778,1124.497,6258.52,5025.051,671.5468026988,689.493019414029,756.340073273752,766.0988236295,138.38238446374,206.309016536859,410.361923447011,614.100264435962,0.167613393117909,0.136570478956708,0.159073517743998,0.186829231496005,0.014066315679701,0.016570990726332,0.0466956055478471,0.083402301294708,2.13235191931545,1.30509201353754,2.05372253273424,2.75304535988947,0.0616151918849038,0.0546250949952096,0.239518278323977,0.577922852435485
"52","52","t3","T",3,"Ft1","Ft",1,1,7.7,3.69,6.83,3.34,15,115,136,115,227,221,40,8,0,6,2,0,6,102.45,0.479220779220779,0.489019033674963,30056,0.75,266.079,450.201,427.868,296.961,367.471,521.497,158.531,379.912,99.6327407407407,93.4696206896552,94.8456835443038,118.963326530612,115.580066666667,125.903676470588,98.2941,121.165644444444,2690.084,5421.238,7492.809,5829.203,3467.402,8561.45,982.941,5452.454,313.741806809093,418.744414510187,517.277029234888,523.391866206333,392.108014961614,539.89043534193,262.445974335638,454.949370689866,0.0312589560973419,0.0391398815901789,0.0490614934195498,0.0622644374829705,0.0453198705097977,0.0679741907008555,0.0257968908459446,0.055124233689232,0.13508900212596,0.156087931874733,0.202497281655355,0.366566463180705,0.29179390804533,0.549191698532504,0.110324632312393,0.314970808350367
"53","53","t3","T",3,"Ft2","Ft",2,1,8.28,4.89,8.5,2.75,35,225,229,270,143,144,82,3,0,3,3,1,4,297.5,0.590579710144927,0.323529411764706,32976,1,106.386,95.956,64.871,90.373,264.899,209.169,189.979,221.489,204.6014,173.680266666667,225.138090909091,250.683357142857,93.0497692307692,97.5824,123.441692307692,126.999454545455,3069.021,2605.204,2476.519,3509.567,1209.647,1463.736,3209.484,5587.976,779.318740002027,1027.91056327359,796.087172795432,844.993475521711,206.50545992349,262.651071808397,610.125182109745,750.274715494693,0.159449705250651,0.178527780738841,0.179229546280379,0.211825801207593,0.0192152853907746,0.0256301219496357,0.0753148849991659,0.0952844796270721,1.42985515555232,1.52899570376588,2.18308613666846,2.76056778357057,0.082857760009122,0.115044038854617,0.445997266508276,0.584362985608422
"54","54","t3","T",3,"Ft3","Ft",3,1,23.25,10.53,13.23,6.33,6.62,252,352,252,231,221,19,4,0,1,6,1,5,87.5826,0.452903225806452,0.478458049886621,77792,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","55","F1","F",1,"Fe1","Fe",1,0,3,2.09,2.46,0.92,34,155,142,261,247,215,42,4,2,1,2,1,5,83.64,0.696666666666667,0.373983739837398,30530,0.25,272.682,378.862,120.206,116.739,238.862,78.778,80.722,166.55,192.379512820513,182.788216494845,219.364711864407,272.804212121212,178.386153061224,173.349525,202.081870967742,193.274529411765,15005.602,17730.457,12942.518,9002.539,17481.843,6933.981,6264.538,13142.668,616.563899300153,607.424075016026,663.094714461477,552.078927313098,746.555776783728,991.449927729814,844.626943329278,737.584847721139,0.118614262570079,0.111029963328211,0.145459580976653,0.150609456794374,0.133175213066083,0.171867374033248,0.170683792977745,0.142556364344551,1.18776988921285,1.06858643209583,1.75637533087214,2.26724876387854,1.19113401520082,1.73593500791125,1.76553817022179,1.5149103758892
"56","56","F1","F",1,"Fe2","Fe",2,0,2.82,1.96,2.13,1.04,33,135,148,198,237,250,53,3,0,1,2,0,4,70.29,0.695035460992908,0.488262910798122,37000,0.333333333333333,74.336,84.798,58.423,151.319,71.698,58.106,80.078,114.63,265.164461538462,244.304181818182,248.694538461538,235.031023809524,157.065869565217,144.919875,210.682571428571,178.190098039216,3447.138,5374.692,3233.029,9871.303,3612.515,3478.077,4424.334,9087.695,731.507292137487,1012.10068394692,870.680339202221,984.435677636872,929.339225270124,1263.88209561096,773.067703780546,1189.43221511449,0.193969737231095,0.247260429509276,0.216533445105432,0.231372925189616,0.145967473538118,0.183161635310678,0.162871891720867,0.211945043022252,2.62611255721878,3.17185746916184,2.67865397957837,3.31540143248357,1.22660719510891,1.31717674094602,1.75787508897982,2.20033783740135
"57","57","F1","F",1,"Fe3","Fe",3,0,5.99,4.31,3.83,1.17,19,243,231,315,226,184,74,2,0,2,3,1,5,72.77,0.719532554257095,0.305483028720627,42504,1,203.067,77.898,71.658,173.09,114.196,111.252,186.293,186.337,135.687285714286,178.791333333333,135.967936170213,190.169222222222,139.479711111111,115.379266666667,85.2430555555556,134.161923076923,949.811,1609.122,6390.493,8557.615,6276.587,1730.689,7671.875,12208.735,282.651628236995,190.131697932253,798.365918015566,662.107594700594,627.447674548482,205.480325020408,668.528191508908,650.537465384402,0.0383522322382012,0.0339938997822381,0.108552166181214,0.125912486311638,0.0875162203833607,0.023708169215283,0.0569873857692489,0.0872773573895586,0.253237854708219,0.287832637153109,0.815072331132297,1.2004917852841,0.558607364108147,0.118709642392851,0.218570501269174,0.624261061304519
"58","58","F1","F",1,"Ft1","Ft",1,0,5.18,2.96,6.42,2.59,18,177,156,177,215,131,24,3,1,2,5,0,4,115.56,0.571428571428572,0.403426791277259,20436,0.666666666666667,201.658,147.883,181.227,311.672,NA,231.293,256.419,255.39,282.957684210526,303.251566666667,154.511972972973,159.721438596491,NA,83.1962857142857,110.222666666667,117.223727272727,10752.392,9097.547,5716.943,9104.122,NA,1164.748,3306.68,2578.922,597.706811174625,620.883055779796,727.194156748617,556.613610500149,NA,276.315833343889,359.960496686444,333.612912972535,0.16912573512683,0.188283759382011,0.112360203893646,0.0889031266114708,NA,0.0229884510182592,0.0396758058394377,0.0391073491249525,2.19839532430514,3.20697040890002,0.876478708686999,0.743316092839559,NA,0.0774674779803719,0.196874854661095,0.199450598463456
"59","59","F1","F",1,"Ft2","Ft",2,0,8.54,3.88,6.57,3.1,20,122,155,122,290,290,38,7,1,6,4,0,4,131.4,0.454332552693208,0.471841704718417,44950,0.857142857142857,196.322,107.819,167.835,242.79,77.425,104.955,310.252,245.008,256.536026315789,224.738962962963,190.997,228.06972,102.3555,114.226666666667,103.686527777778,148.507916666667,9748.369,6067.952,7257.886,11403.486,1228.266,2398.76,3732.715,7128.38,746.450381267506,797.904255564255,666.689983929583,615.396306446977,660.950677611375,770.930844410679,460.023219450394,679.643155879109,0.191491414652272,0.179320174939246,0.127335786860599,0.140353263300396,0.0676519370822511,0.0880608605875505,0.0476982103219661,0.100932389156365,2.73561446286923,1.83194231941639,1.45435619157101,1.71400807670341,0.300998080204856,0.440353823088219,0.250533379880848,0.918990146624552
"60","60","F1","F",1,"Ft3","Ft",3,0,5.49,2.77,3.93,2.45,23,86,102,86,240,204,25,3,0,2,2,0,3,90.39,0.504553734061931,0.623409669211196,20808,0.666666666666667,134.011,124.019,125.677,48.245,104.907644811888,242.902516875098,105.884569096332,95.3770080058605,258.227458333333,369.615315789474,278.444333333333,396.636363636364,183.024692307692,299.452717948718,261.951352941176,282.500555555556,6197.459,7022.691,7517.997,4363,4758.642,23357.312,13359.519,10170.02,698.821498233953,593.423539810923,845.665321879161,719.781707288548,304.399576505526,466.816848386817,541.668865938736,445.80151448999,0.180454899317646,0.219338429064122,0.235470716773762,0.285491598990903,0.0557126388285157,0.139789574033687,0.141890892278765,0.12593917551093,2.33400818676019,3.70146226673287,3.29794134454467,5.37025817700768,0.664954575755538,2.04702083056634,1.84044733384202,1.7022599139561
"61","61","F2","F",2,"Fe1","Fe",1,0,2.77,2.23,1.77,1.03,49,150,172,275,220,195,42,1,0,1,1,0,3,86.73,0.805054151624549,0.581920903954802,33540,1,155.139971744022,200.419130343781,97.8509758777667,65.9306158756737,60.18,79.567,79.156,48.145,165.8595,232.260024691358,255.080552631579,201.949604651163,165.3202,179.050684210526,281.719,247.529421052632,8624.694,18813.062,9693.061,8683.833,2479.803,3401.963,3662.347,4703.059,810.836356585305,799.882551305527,821.98182235598,1205.04763235173,865.857696572528,794.088010761415,558.817644730498,954.968756415024,0.13448491268506,0.185780741116408,0.209671577499676,0.243358892939252,0.14314376756891,0.142182001650207,0.157429548055831,0.236382863398762,1.24318500121407,2.22018546703165,3.1602528336432,2.67456800444669,1.05454821731661,1.41248874951172,2.39651235226501,2.71394229445197
"62","62","F2","F",2,"Fe2","Fe",2,0,4.9,2.42,4.11,1.89,26,283,263,283,278,243,37,8,0,2,3,0,4,106.86,0.493877551020408,0.45985401459854,63909,0.25,307.699,206.241,181.83,156.224,94.786,107.859,75.5,70.878,201.99132,245.208826923077,229.343130434783,289.172731707317,157.477444444444,240.651137931034,231.925625,273.053136363636,15149.349,12750.859,10549.784,11856.082,7086.485,6978.883,7421.62,6007.169,738.624915026336,793.020838640194,768.533095732797,745.275254259435,1443.47132874797,831.313277699286,1216.1549073411,730.168575639901,0.149195821571058,0.194455709568517,0.176257786018094,0.215513281148066,0.227314175980057,0.200056486255511,0.282057486981902,0.199374819652644,1.59147257634615,2.71849012278433,2.12948862584749,3.49236500860756,2.03818000318397,2.53736721995163,4.62423783998729,4.06397227198514
"63","63","F2","F",2,"Fe3","Fe",3,0,2.44,1.94,2.06,1.29,20,160,138,175,235,191,50,6,2,1,3,1,4,41.2,0.795081967213115,0.62621359223301,26358,0.166666666666667,208.271,88.623,140.49,65.022,127.151,145.192,107.476,138.11,209.6965,247.117,136.702222222222,201.286105263158,146.407625,172.220098039216,167.664333333333,182.266430769231,5032.716,2718.287,2460.64,3824.436,5856.305,8783.225,6035.916,11847.318,290.394458319835,312.419984714023,321.277735948239,717.908582456304,529.511159253867,627.089275328694,581.250430291138,707.144456526208,0.0608947015290653,0.0772042893625753,0.0439193804546485,0.144505022497624,0.0775244712373554,0.107997376476448,0.0974549658944768,0.128888696129279,0.650073855382076,0.922644956998838,0.303049367562426,1.62757545877837,0.584390880108011,1.0405599348236,0.905725994904352,1.26392600056751
