"","file","id_complete","image_surface_µm2","id_amap","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ"
"34","1861_T3-Fe3-45_Racine_X200_09µm_square.jpg","1861_T3_Fe3_45_R_X200_09µm",5407169.16094722,"1861","45","T3","T","3","Fe3","Fe","3",0,"R"
"35","1862_t3-Fe3-48_Tige_X200_09µm_square.jpg","1862_t3_Fe3_48_T_X200_09µm",1983638.9194152,"1862","48","t3","T","3","Fe3","Fe","3",1,"T"
"36","1863_t3-Fe3-48_Racine_X200_09µm_square.jpg","1863_t3_Fe3_48_R_X200_09µm",3087569.47845696,"1863","48","t3","T","3","Fe3","Fe","3",1,"R"
"37","1864_T3-Ft3-51_Tige_X200_09µm_square.jpg","1864_T3_Ft3_51_T_X200_09µm",4837749.52438575,"1864","51","T3","T","3","Ft3","Ft","3",0,"T"
"38","1865_T3-Ft3-51_Racine_X200_09µm_square.jpg","1865_T3_Ft3_51_R_X200_09µm",4346825.1884136,"1865","51","T3","T","3","Ft3","Ft","3",0,"R"
"39","1866_t3-Ft1-52_Tige_X200_11µm_square.jpg","1866_t3_Ft1_52_T_X200_11µm",7499785.5035424,"1866","52","t3","T","3","Ft1","Ft","1",1,"T"
"40","1867_t3-Ft1-52_Racine_X200_09µm_square.jpg","1867_t3_Ft1_52_R_X200_09µm",6444649.71538624,"1867","52","t3","T","3","Ft1","Ft","1",1,"R"
"41","1868_F1-Fe1-55_Tige_X200_09µm_square.jpg","1868_F1_Fe1_55_T_X200_09µm",2349139.51085274,"1868","55","F1","F","1","Fe1","Fe","1",0,"T"
"42","1869_F1-Fe1-55_Racine_X200_09µm_square.jpg","1869_F1_Fe1_55_R_X200_09µm",2106414.74412256,"1869","55","F1","F","1","Fe1","Fe","1",0,"R"
"43","1870_F1-Fe2-56_Tige_X200_09µm_square.jpg","1870_F1_Fe2_56_T_X200_09µm",1662762.16859744,"1870","56","F1","F","1","Fe2","Fe","2",0,"T"
"44","1871_F1-Fe2-56_Racine_X200_09µm_square.jpg","1871_F1_Fe2_56_R_X200_09µm",1396173.25269312,"1871","56","F1","F","1","Fe2","Fe","2",0,"R"
"45","1872_F1-Fe3-57_Tige_X200_09µm_square.jpg","1872_F1_Fe3_57_T_X200_09µm",5912819.58346209,"1872","57","F1","F","1","Fe3","Fe","3",0,"T"
"46","1873_F1-Fe3-57_Racine_X200_09µm_square.jpg","1873_F1_Fe3_57_R_X200_09µm",2855480.2186743,"1873","57","F1","F","1","Fe3","Fe","3",0,"R"
"47","1874_F1-Ft3-60_Tige_X200_09µm_square.jpg","1874_F1_Ft3_60_T_X200_09µm",1329321.49473728,"1874","60","F1","F","1","Ft3","Ft","3",0,"T"
