"","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ","year","ring_length_µm","mean_vessel_size_µm2","vessel_density_per_mm2","vessel_area","Kth"
"52","07","T1","T",1,"Fe1","Fe",1,0,"R","2024",276.58,299.278444444444,217.288343946554,0.0650297175722341,0.98728326150089
"53","07","T1","T",1,"Fe1","Fe",1,0,"T","2021",174.431,259.951542168675,486.148285706596,0.126374996592087,1.79952616709887
"54","07","T1","T",1,"Fe1","Fe",1,0,"T","2022",118.584,154.058074074074,252.426520407332,0.0388883435791735,0.277659402580788
"55","07","T1","T",1,"Fe1","Fe",1,0,"T","2023",320.382,179.957939130435,402.537881850318,0.0724398876397136,0.735085845477751
"56","07","T1","T",1,"Fe1","Fe",1,0,"T","2024",347.226,278.250803418803,327.231474280529,0.0910524206224766,1.35116738487649
"57","08","T1","T",1,"Fe2","Fe",2,0,"R","2021",52.855,229.6359,816.503819756372,0.187498589503192,1.96292094853068
"58","08","T1","T",1,"Fe2","Fe",2,0,"R","2022",43.024,190.2635,801.488580217768,0.152494022482263,1.49443191191301
"59","08","T1","T",1,"Fe2","Fe",2,0,"R","2023",191.017,165.122346153846,657.029972140088,0.108490330493167,0.91665016379509
"60","08","T1","T",1,"Fe2","Fe",2,0,"R","2024",57.048,166.575615384615,709.18510953851,0.118132946042983,0.874431692027724
"61","08","T1","T",1,"Fe2","Fe",2,0,"T","2021",60.911,137.85830952381,1548.53912601148,0.21347898614342,1.65131808974357
"62","08","T1","T",1,"Fe2","Fe",2,0,"T","2022",86.834,131.102333333333,1765.60263151151,0.231474624730632,1.5905208777095
"63","08","T1","T",1,"Fe2","Fe",2,0,"T","2023",134.277,109.12022,1876.23776653914,0.20473547785706,1.17155725326968
"64","08","T1","T",1,"Fe2","Fe",2,0,"T","2024",117.859,159.039511627907,876.037746039579,0.139324615297747,1.24514447546737
"65","09","T1","T",1,"Fe3","Fe",3,0,"R","2021",106.935,166.620451612903,667.44126661931,0.111209365269198,0.864739951081067
"66","09","T1","T",1,"Fe3","Fe",3,0,"R","2022",163.309,192.107909090909,684.257105806881,0.131451201877157,1.3526350440627
"67","09","T1","T",1,"Fe3","Fe",3,0,"R","2023",180.308,190.335860759494,821.137037270732,0.156291824790425,1.61825501837924
"68","09","T1","T",1,"Fe3","Fe",3,0,"R","2024",204.253,189.566341463415,785.571350790914,0.148917886927906,1.70765737982575
"69","09","T1","T",1,"Fe3","Fe",3,0,"T","2021",119.448,142.321266666667,735.906342795162,0.104735122854642,0.706451822065833
"70","09","T1","T",1,"Fe3","Fe",3,0,"T","2022",176.31,178.006433333333,725.114140094946,0.129074981837868,1.19203199174955
"71","09","T1","T",1,"Fe3","Fe",3,0,"T","2023",122.087,178.476132075472,937.503974401963,0.167322083156644,1.60672828313736
"72","09","T1","T",1,"Fe3","Fe",3,0,"T","2024",176.05,183.179315789474,804.54669093802,0.147376312366712,1.55799096646887
"73","10","T1","T",1,"Fe1","Fe",1,1,"R","2021",92.8,245.913727272727,689.673754831519,0.169600243652796,2.09549590460024
"74","10","T1","T",1,"Fe1","Fe",1,1,"R","2022",103.517,275.305875,554.734590222137,0.152721691753872,2.23316198019533
"75","10","T1","T",1,"Fe1","Fe",1,1,"R","2023",74.859,264.1986,772.385752323071,0.204063234423702,2.89159640025265
"76","10","T1","T",1,"Fe1","Fe",1,1,"R","2024",146.132,290.055742857143,526.39416489346,0.152683650533838,2.74333622890887
"77","10","T1","T",1,"Fe1","Fe",1,1,"T","2021",110.069,212.636027777778,634.297595449897,0.134874521125462,1.31800852609815
"78","10","T1","T",1,"Fe1","Fe",1,1,"T","2022",94.197,219.596290322581,578.853348513213,0.127114047974305,1.43302584859585
"79","10","T1","T",1,"Fe1","Fe",1,1,"T","2023",105.709,201.419,485.024432111727,0.0976931360915119,0.958792741651686
"80","10","T1","T",1,"Fe1","Fe",1,1,"T","2024",112.014,224.052487179487,543.796288991182,0.12183891106745,1.38342818318966
"81","11","T1","T",1,"Fe2","Fe",2,1,"R","2021",176.92,187.455895833333,468.235245028027,0.0877734573174692,0.835169730450531
