"","id_amap","image_surface_rectified_µm2","mean_vessel_size_µm2","std_dev_vessel_size_µm2","mean_vessel_perim_µm","std_dev_perim_µm","sum_vessel_area_µm2","count_vessel","dh","image_surface_rectified_mm2","vessel_density_per_mm2","vessel_density_per_m2","dh_m","vessel_area","Kth"
"1","1826",188711.604806765,142.800301621181,55.7616709201151,53.3372012205308,13.1753770106568,37128.078421507,260,13.9692381468743,0.188711604806765,1377.76370597999,1377763705.97999,1.39692381468743e-05,0.196745072776659,1.28278942808549
"2","1827",389685.061224695,145.37124085707,91.4067167043337,52.8210218227619,23.6366917991179,58003.125101971,399,14.7839064811273,0.389685061224695,1023.90376152997,1023903761.52997,1.47839064811273e-05,0.148846160331833,1.19592986732663
"3","1828",170014.361978451,140.2444855106,72.0960544145212,51.7017752388538,16.3110969470041,18231.783116378,130,14.1639172244229,0.170014361978451,764.641283755059,764641283.755059,1.41639172244229e-05,0.107236723440393,0.752455826572276
"4","1829",85129.0219138188,181.47452768584,95.795788912437,59.49766088248,17.0181512672121,13610.589576438,75,16.1523237477837,0.0851290219138188,881.015643242407,881015643.242407,1.61523237477837e-05,0.159881897741252,1.46626818000407
"5","1830",210107.418764939,189.201158903773,100.454515985625,59.5805857064067,20.1139969474116,28380.173835566,150,16.5090087183357,0.210107418764939,713.920531134671,713920531.134671,1.65090087183357e-05,0.135074591855877,1.29665251359274
"6","1831",621812.557561452,238.526676199042,141.446589640042,66.174385497241,24.6270309169614,86108.130107854,361,18.7871694718573,0.621812557561452,580.560806645214,580560806.645214,1.87871694718573e-05,0.138479239540517,1.76840963524563
"7","1832",472859.699948077,159.247003809207,81.9617233129117,51.0848421196568,16.0999871643239,53825.487287512,338,15.0986225288331,0.472859699948077,714.799759922689,714799759.922689,1.50986225288331e-05,0.113829720091229,0.908287747900206
"8","1833",421515.11292514,215.725116678274,118.110686160381,59.8179398607338,18.8492889417521,56735.705686386,263,17.6919679931449,0.42151511292514,623.939668912199,623939668.912199,1.76919679931449e-05,0.134599457876288,1.49464111650523
"9","1834",73521.0042979975,222.593039510364,164.689805329473,84.8466671334091,40.3050978332296,9794.093738456,44,18.7385304159225,0.0735210042979975,598.468429806235,598468429.806235,1.87385304159224e-05,0.133214906841565,1.80415191913804
"10","1835",146406.245389467,405.530285974663,243.605376216823,89.709678557163,35.4730488279944,37308.786309669,92,24.5248248038774,0.146406245389467,628.388493641534,628388493.641534,2.45248248038774e-05,0.254830565529639,5.5582954216544
"11","1836",212446.764517122,128.470471309546,58.6402053010458,46.6913941626011,14.1373714804937,23510.096249647,183,13.406091000464,0.212446764517122,861.392266509435,861392266.509435,1.3406091000464e-05,0.110663470460866,0.680298271742251
"12","1837",268067.557293525,199.274769738574,100.879878225999,53.5781169169257,15.2017460125371,40253.503487192,202,16.8594190192379,0.268067557293525,753.54139098159,753541390.98159,1.68594190192379e-05,0.150161787176341,1.4885631993429
"13","1838",305565.813085929,158.040535884712,126.179688515034,55.8791836392065,35.5886999007242,29079.458602787,184,16.0380274978913,0.305565813085929,602.16160355693,602161603.55693,1.60380274978913e-05,0.0951659425153346,0.974106904455326
"14","1839",129569.472409713,133.4525264974,81.9690634540286,46.3433461999455,18.9850775713914,14679.777914714,110,14.1124402770837,0.129569472409713,848.965407933188,848965407.933188,1.41124402770837e-05,0.11329657859758,0.823357052743001
"15","1840",135699.576815803,169.793973060543,117.319675880782,52.5563436436623,18.4970494470238,25638.889932142,151,16.2016524510337,0.135699576815803,1112.75218053897,1112752180.53897,1.62016524510337e-05,0.188938613765494,1.87467266889228
"16","1842",326172.8097323,144.989259213803,92.7873407858577,54.9230736741579,18.784941406548,55095.918501245,380,14.8016443595082,0.3261728097323,1165.02660142603,1165026601.42603,1.48016443595082e-05,0.168916343905134,1.36730514992668
"17","1843",177369.994426066,266.597611565781,176.371808692131,70.2699232254375,27.649896300402,34124.49428042,128,20.1622679643686,0.177369994426066,721.655319515471,721655319.515471,2.01622679643686e-05,0.192391584556565,2.91592999862298
"18","1844",335605.213894605,171.400223529648,85.2602005474226,78.2683789852682,22.1435332698756,30680.640011807,179,15.6079292155186,0.335605213894605,533.3647767946,533364776.7946,1.56079292155186e-05,0.0914188419654353,0.773918495697082
"19","1845",211788.002124829,197.854602548192,112.801892371305,60.1618288780673,21.3068950251175,20576.878665012,104,17.018810834905,0.211788002124829,491.057089903997,491057089.903997,1.7018810834905e-05,0.0971579053514272,1.0072530178045
"20","1846",101380.410855866,194.270620611394,101.673123848039,60.9454391711408,16.7306347942808,13793.214063409,71,16.6960404029739,0.101380410855866,700.332533677948,700332533.677948,1.66960404029739e-05,0.136054035951965,1.33060146386182
"21","1847",76183.1600503946,180.506412813208,93.1759825400295,54.0947196218868,14.8986185161647,9566.8398791,53,16.0663377866828,0.0761831600503946,695.691803345265,695691803.345266,1.60663377866828e-05,0.125576831845405,1.13337651105365
"22","1848",511976.386538838,134.936849124939,58.7598906838829,51.793531362846,18.4330080828832,103361.626429703,766,13.6883302612053,0.511976386538838,1496.16275308801,1496162753.08801,1.36883302612053e-05,0.20188748767979,1.28431183830474
"23","1849",158771.593336578,152.859306976715,76.2763389312944,49.8288265349644,13.0238528965594,38673.404665109,253,14.7453760684243,0.158771593336578,1593.48404008057,1593484040.08057,1.47453760684243e-05,0.243578866045173,1.84187807597739
"24","1850",160685.454152094,100.990306941764,36.4691281584398,48.7777902399583,13.0795549750405,7271.302099807,72,11.6877049807015,0.160685454152094,448.080384001962,448080384.001962,1.16877049807015e-05,0.0452517755149416,0.204438479176636
"25","1851",85045.786765333,111.774411674149,41.0456909910072,55.6450144411702,11.5669190670534,5253.397348685,47,12.3051243940102,0.085045786765333,552.64348520506,552643485.20506,1.23051243940102e-05,0.0617714004243468,0.309798160978754
"26","1853",230678.547633508,215.908405633963,120.631922473206,63.1694478336,22.8229871620729,29147.634760585,135,17.7376269589003,0.230678547633508,585.22997211896,585229972.11896,1.77376269589003e-05,0.126356070209413,1.41644062757671
"27","1854",486177.049905996,134.613989414956,70.7033131356308,53.4999199282752,14.2804006160338,54787.893691887,407,13.9121348895222,0.486177049905996,837.143588079065,837143588.079065,1.39121348895222e-05,0.112691238104473,0.766769486169605
"28","1855",62083.0163769453,201.818162735596,140.971318156962,58.2074272736854,21.8234850877667,17961.816483468,89,17.6879980665303,0.0620830163769453,1433.5643658102,1433564365.8102,1.76879980665303e-05,0.289319326471034,3.43100754112418
"29","1856",579113.74778766,130.538217695018,70.8281150441345,62.2100007011477,35.11604362939,137848.357885939,1056,13.7504697711664,0.57911374778766,1823.47596484136,1823475964.84136,1.37504697711664e-05,0.238033302460095,1.59389582464184
"30","1857",164046.620871874,217.699138092549,123.161120586552,58.4802196907609,17.3043678148408,40056.641409029,184,17.8397521572409,0.164046620871874,1121.63236903069,1121632369.03069,1.78397521572409e-05,0.244178399994686,2.77776529301787
"31","1858",124202.995731014,169.730717942488,77.3289403378002,51.4017527767126,13.0771057368532,29533.144921993,174,15.4065711340413,0.124202995731014,1400.93239278086,1400932392.78086,1.54065711340413e-05,0.237781260815583,1.92988263431267
"32","1859",93381.0750066395,195.388456310268,97.7496733752892,59.5253974136098,19.5293009510562,24032.780126163,123,16.6716973899197,0.0933810750066395,1317.18337994347,1317183379.94347,1.66716973899197e-05,0.257362427284696,2.48802800414953
"33","1860",394709.835714872,142.859580827641,121.39069340655,61.5329909581208,29.847794244368,88715.799693965,621,15.4470750308056,0.394709835714872,1573.30763971282,1573307639.71282,1.54470750308056e-05,0.224762069922298,2.19022344115497
"34","1861",405355.720726155,195.585604469703,108.203034042499,95.2934459823931,28.6123312800231,28359.912648107,145,16.8631455475941,0.405355720726155,357.710506071671,357710506.071671,1.68631455475941e-05,0.0699630255551914,0.707254625781285
"35","1862",148706.163966053,204.199913621114,117.535803247056,63.3443304574857,17.3112845948963,14293.993953478,70,17.3047618310848,0.148706163966053,470.726956657827,470726956.657827,1.73047618310848e-05,0.0961224038886584,1.03209891604196
"36","1863",231463.805547514,223.210046471094,142.58736592781,72.7490834799487,26.9032934741392,26115.575437118,117,18.3526472124928,0.231463805547514,505.478598363331,505478598.363331,1.83526472124928e-05,0.112827901430823,1.40212710571981
"37","1864",350597.945015633,128.775844810681,65.8253294084098,50.9683756203284,19.2869707625291,26270.272341379,204,13.5664245693281,0.350597945015633,581.863079633578,581863079.633578,1.35664245693281e-05,0.0749299096439588,0.481916910562152
"38","1865",310950.908153105,224.454755505974,155.485636153471,61.751639661485,25.3249254777852,52297.958032892,233,18.6390638252085,0.310950908153105,749.31442195781,749314421.95781,1.86390638252085e-05,0.168187185377641,2.21131300692234
"39","1866",546514.318563381,138.79348419443,145.029163068654,61.6178591207383,46.2690057116081,14850.902808804,107,15.9677067059436,0.546514318563381,195.786270122383,195786270.122383,1.59677067059436e-05,0.0271738585877173,0.311201848181684
"40","1867",483131.848190665,112.306823350685,55.3854010960851,46.6597405787113,19.5930364038431,37735.09264583,336,12.6249849625105,0.483131848190665,695.46232826158,695462328.26158,1.26249849625105e-05,0.078105164847129,0.432003072095955
"41","1868",169066.740764932,183.900497505057,86.7546198795343,54.7836468390283,13.9775483253267,19493.452735536,106,16.0833377304167,0.169066740764932,626.971334044825,626971334.044825,1.60833377304166e-05,0.115300340252252,1.02575149494922
"42","1869",157910.219069681,228.5379805583,151.372463088293,61.49557305657,23.3072576746501,22853.79805583,100,18.6679205355311,0.157910219069681,633.271238486934,633271238.486934,1.86679205355311e-05,0.144726529989458,1.88045647265142
"43","1870",124651.206053618,183.076575066372,89.9805193019964,52.6562358630465,13.960867531733,15744.585455708,86,16.107115637798,0.124651206053618,689.925133680677,689925133.680677,1.6107115637798e-05,0.126309130526467,1.13543641868345
"44","1871",104666.008822416,257.813831868143,130.778518210989,60.0408088632714,16.4188117601379,18046.96823077,70,19.1712776923717,0.104666008822416,668.794012378624,668794012.378623,1.91712776923717e-05,0.172424347061803,2.20895238703928
"45","1872",443262.485865734,118.387313093952,75.5520751250339,55.8534111025455,35.4220936951555,46881.375985205,396,13.3697296461174,0.443262485865734,893.37584981182,893375849.81182,1.33697296461174e-05,0.105764366442247,0.697934162340113
"46","1873",214064.921515648,163.763178346466,101.992091547666,53.8845181489248,22.1099951576692,21780.50272008,133,15.6647328959603,0.214064921515648,621.306840272183,621306840.272182,1.56647328959603e-05,0.101747182891373,0.91471933266391
"47","1874",77256.7291859646,314.447201041348,166.653756915793,76.0964004982174,23.8347885081274,14464.571247902,46,21.2612095903021,0.0772567291859646,595.41738932894,595417389.32894,2.12612095903021e-05,0.187227331525832,2.97483673741194
"48","1875",115174.172518935,258.280996560667,124.288772118237,65.1736542342564,16.6414383220904,20145.917731732,78,19.092106893577,0.115174172518935,677.235167347754,677235167.347754,1.9092106893577e-05,0.174916973928508,2.20011143371004
"49","1876",131499.2136154,196.182526775765,169.665682221286,63.6491384416325,32.317585050307,32566.299444777,166,18.1608714717823,0.1314992136154,1262.36496353131,1262364963.53131,1.81608714717823e-05,0.247653948258768,3.35754172731871
"50","1877",292497.073374146,182.411211316597,156.54512623802,59.5336503379579,21.6434909502913,69316.260300307,380,17.4895493427539,0.292497073374146,1299.15829794962,1299158297.94962,1.74895493427539e-05,0.236981038820999,2.97211968980892
"51","1878",320840.28423259,140.569453511785,99.6820385598836,61.0190968581728,26.239476270582,49621.01708966,353,14.8090639141067,0.32084028423259,1100.23590349426,1100235903.49426,1.48090639141067e-05,0.154659559688233,1.29385613662929
"52","1879",220989.319230152,183.96540409291,111.112058448586,63.5872052878077,22.6268773831375,14349.301519247,78,16.5278885585714,0.220989319230152,352.958234686292,352958234.686292,1.65278885585714e-05,0.0649321042719841,0.643995109426763
"53","1880",107836.884659968,103.986293537763,33.3671149251758,46.4619270066316,10.7248851283614,3951.479154435,38,11.7846416955665,0.107836884659968,352.384067101177,352384067.101177,1.17846416955665e-05,0.0366431130396138,0.166177239869851
"54","1881",114166.315342696,214.124301853891,102.891440946497,75.2101725106719,23.829721709131,13703.955318649,64,17.3790148462544,0.114166315342696,560.585666690648,560585666.690648,1.73790148462544e-05,0.120035014509433,1.2503521731381
"55","1882",101859.834359152,188.201063114582,93.4230712457537,70.7800001332755,30.5737492731478,18443.704185229,98,16.3479147432496,0.101859834359152,962.1064143346,962106414.3346,1.63479147432496e-05,0.18106945000713,1.6802051583033
"56","1883",85427.7375289448,266.381335137095,160.041680098522,97.7580800939054,46.9776266861691,19712.218800145,74,19.8736860935306,0.0854277375289448,866.229191366881,866229191.366881,1.98736860935306e-05,0.230747288531036,3.30397129436836
"57","1884",188067.901405152,174.027172294927,112.443619310725,55.0216165428333,17.0469659741766,26104.075844239,150,16.2341450290627,0.188067901405152,797.58427078344,797584270.78344,1.62341450290627e-05,0.138801335311353,1.35451560721647
"58","1885",323251.091740546,226.918233754301,124.863975596281,60.0881380977796,18.6610285968183,42206.7914783,186,18.1539970405882,0.323251091740546,575.404089119955,575404089.119955,1.81539970405882e-05,0.130569679598103,1.52809984678968
"59","1886",88957.564944341,140.57885947493,57.289811422631,55.1554203581127,14.2976624356301,9981.09902272,71,13.8956557259971,0.088957564944341,798.133357679286,798133357.679286,1.38956557259971e-05,0.11220067713145,0.727581071311967
"60","1887",88681.848514982,137.961814615649,50.2761021139175,50.1637557371351,11.6371996987406,10209.174281558,74,13.6678716131803,0.088681848514982,834.443589518754,834443589.518754,1.36678716131803e-05,0.115121351804403,0.712016884336255
