"","id_amap","image_surface_rectified_µm2","mean_vessel_size_µm2","std_dev_vessel_size_µm2","mean_vessel_perim_µm","std_dev_perim_µm","sum_vessel_area_µm2","dh","count_vessel","count_cluster","vessel_grouping","image_surface_rectified_mm2","vessel_density_per_mm2","vessel_density_per_m2","dh_m","vessel_area","Kth"
"1","1826",188711.604806765,142.800301621181,55.7616709201151,53.3372012205308,13.1753770106568,37128.078421507,13.9692381468743,260,86,3.02325581395349,0.188711604806765,1377.76370597999,1377763705.97999,1.39692381468743e-05,0.196745072776659,1.28278942808549
"2","1827",389685.061224695,145.37124085707,91.4067167043337,52.8210218227619,23.6366917991179,58003.125101971,14.7839064811273,399,242,1.64876033057851,0.389685061224695,1023.90376152997,1023903761.52997,1.47839064811273e-05,0.148846160331833,1.19592986732663
"3","1828",170014.361978451,140.2444855106,72.0960544145212,51.7017752388538,16.3110969470041,18231.783116378,14.1639172244229,130,79,1.64556962025316,0.170014361978451,764.641283755059,764641283.755059,1.41639172244229e-05,0.107236723440393,0.752455826572276
"4","1829",85129.0219138188,181.47452768584,95.795788912437,59.49766088248,17.0181512672121,13610.589576438,16.1523237477837,75,42,1.78571428571429,0.0851290219138188,881.015643242407,881015643.242407,1.61523237477837e-05,0.159881897741252,1.46626818000407
"5","1830",210107.418764939,189.201158903773,100.454515985625,59.5805857064067,20.1139969474116,28380.173835566,16.5090087183357,150,102,1.47058823529412,0.210107418764939,713.920531134671,713920531.134671,1.65090087183357e-05,0.135074591855877,1.29665251359274
"6","1831",621812.557561452,238.526676199042,141.446589640042,66.174385497241,24.6270309169614,86108.130107854,18.7871694718573,361,256,1.41015625,0.621812557561452,580.560806645214,580560806.645214,1.87871694718573e-05,0.138479239540517,1.76840963524563
"7","1832",472852.307352652,159.247003809207,81.9617233129117,51.0848421196568,16.0999871643239,53825.487287512,15.0986225288331,338,233,1.45064377682403,0.472852307352652,714.810935136075,714810935.136075,1.50986225288331e-05,0.113831499710477,0.908301948113984
"8","1833",421515.11292514,215.725116678274,118.110686160381,59.8179398607338,18.8492889417521,56735.705686386,17.6919679931449,263,202,1.3019801980198,0.42151511292514,623.939668912199,623939668.912199,1.76919679931449e-05,0.134599457876288,1.49464111650523
"9","1834",73521.0042979975,222.593039510364,164.689805329473,84.8466671334091,40.3050978332296,9794.093738456,18.7385304159225,44,29,1.51724137931034,0.0735210042979975,598.468429806235,598468429.806235,1.87385304159224e-05,0.133214906841565,1.80415191913804
"10","1835",146397.209995059,405.530285974663,243.605376216823,89.709678557163,35.4730488279944,37308.786309669,24.5248248038774,92,53,1.73584905660377,0.146397209995059,628.427276743218,628427276.743218,2.45248248038774e-05,0.254846293251956,5.55863847048281
"11","1836",212446.764517122,128.470471309546,58.6402053010458,46.6913941626011,14.1373714804937,23510.096249647,13.406091000464,183,127,1.44094488188976,0.212446764517122,861.392266509435,861392266.509435,1.3406091000464e-05,0.110663470460866,0.680298271742251
"12","1837",268048.665105218,199.274769738574,100.879878225999,53.5781169169257,15.2017460125371,40253.503487192,16.8594190192379,202,118,1.71186440677966,0.268048665105218,753.594500911647,753594500.911647,1.68594190192379e-05,0.150172370645424,1.48866811393465
"13","1838",249402.896645046,131.788355677876,51.3762221872839,45.1203697720759,10.3308759049188,19109.311573292,13.4170009836966,145,84,1.72619047619048,0.249402896645046,581.388596325592,581388596.325592,1.34170009836966e-05,0.0766202471196181,0.460657411114184
"14","1839",129569.472409713,133.4525264974,81.9690634540286,46.3433461999455,18.9850775713914,14679.777914714,14.1124402770837,110,69,1.59420289855072,0.129569472409713,848.965407933188,848965407.933188,1.41124402770837e-05,0.11329657859758,0.823357052743001
"15","1840",135699.576815803,169.793973060543,117.319675880782,52.5563436436623,18.4970494470238,25638.889932142,16.2016524510337,151,60,2.51666666666667,0.135699576815803,1112.75218053897,1112752180.53897,1.62016524510337e-05,0.188938613765494,1.87467266889228
"16","1842",326172.8097323,144.989259213803,92.7873407858577,54.9230736741579,18.784941406548,55095.918501245,14.8016443595082,380,139,2.73381294964029,0.3261728097323,1165.02660142603,1165026601.42603,1.48016443595082e-05,0.168916343905134,1.36730514992668
"17","1843",177369.994426066,266.597611565781,176.371808692131,70.2699232254375,27.649896300402,34124.49428042,20.1622679643686,128,74,1.72972972972973,0.177369994426066,721.655319515471,721655319.515471,2.01622679643686e-05,0.192391584556565,2.91592999862298
"18","1844",335605.213894605,171.400223529648,85.2602005474226,78.2683789852682,22.1435332698756,30680.640011807,15.6079292155186,179,138,1.29710144927536,0.335605213894605,533.3647767946,533364776.7946,1.56079292155186e-05,0.0914188419654353,0.773918495697082
"19","1845",211788.002124829,197.854602548192,112.801892371305,60.1618288780673,21.3068950251175,20576.878665012,17.018810834905,104,76,1.36842105263158,0.211788002124829,491.057089903997,491057089.903997,1.7018810834905e-05,0.0971579053514272,1.0072530178045
"20","1846",101380.410855866,194.270620611394,101.673123848039,60.9454391711408,16.7306347942808,13793.214063409,16.6960404029739,71,48,1.47916666666667,0.101380410855866,700.332533677948,700332533.677948,1.66960404029739e-05,0.136054035951965,1.33060146386182
"21","1847",76183.1600503946,180.506412813208,93.1759825400295,54.0947196218868,14.8986185161647,9566.8398791,16.0663377866828,53,35,1.51428571428571,0.0761831600503946,695.691803345265,695691803.345266,1.60663377866828e-05,0.125576831845405,1.13337651105365
"22","1848",511964.886945955,134.936849124939,58.7598906838829,51.793531362846,18.4330080828832,103361.626429703,13.6883302612053,766,257,2.98054474708171,0.511964886945955,1496.19635942115,1496196359.42115,1.36883302612053e-05,0.201892022412495,1.28434068610984
"23","1849",158771.593336578,152.859306976715,76.2763389312944,49.8288265349644,13.0238528965594,38673.404665109,14.7453760684243,253,46,5.5,0.158771593336578,1593.48404008057,1593484040.08057,1.47453760684243e-05,0.243578866045173,1.84187807597739
"24","1850",160685.454152094,100.990306941764,36.4691281584398,48.7777902399583,13.0795549750405,7271.302099807,11.6877049807015,72,63,1.14285714285714,0.160685454152094,448.080384001962,448080384.001962,1.16877049807015e-05,0.0452517755149416,0.204438479176636
"25","1851",85045.786765333,111.774411674149,41.0456909910072,55.6450144411702,11.5669190670534,5253.397348685,12.3051243940102,47,38,1.23684210526316,0.085045786765333,552.64348520506,552643485.20506,1.23051243940102e-05,0.0617714004243468,0.309798160978754
"26","1853",230678.547633508,215.908405633963,120.631922473206,63.1694478336,22.8229871620729,29147.634760585,17.7376269589003,135,112,1.20535714285714,0.230678547633508,585.22997211896,585229972.11896,1.77376269589003e-05,0.126356070209413,1.41644062757671
"27","1854",486177.049905996,134.613989414956,70.7033131356308,53.4999199282752,14.2804006160338,54787.893691887,13.9121348895222,407,273,1.49084249084249,0.486177049905996,837.143588079065,837143588.079065,1.39121348895222e-05,0.112691238104473,0.766769486169605
"28","1855",62083.0163769453,201.818162735596,140.971318156962,58.2074272736854,21.8234850877667,17961.816483468,17.6879980665303,89,17,5.23529411764706,0.0620830163769453,1433.5643658102,1433564365.8102,1.76879980665303e-05,0.289319326471034,3.43100754112418
"29","1856",579113.74778766,130.538217695018,70.8281150441345,62.2100007011477,35.11604362939,137848.357885939,13.7504697711664,1056,170,6.21176470588235,0.57911374778766,1823.47596484136,1823475964.84136,1.37504697711664e-05,0.238033302460095,1.59389582464184
"30","1857",164046.620871874,217.699138092549,123.161120586552,58.4802196907609,17.3043678148408,40056.641409029,17.8397521572409,184,70,2.62857142857143,0.164046620871874,1121.63236903069,1121632369.03069,1.78397521572409e-05,0.244178399994686,2.77776529301787
"31","1858",124195.603135589,169.730717942488,77.3289403378002,51.4017527767126,13.0771057368532,29533.144921993,15.4065711340413,174,48,3.625,0.124195603135589,1401.01578161376,1401015781.61376,1.54065711340413e-05,0.237795414462061,1.929997508279
"32","1859",93381.0750066395,195.388456310268,97.7496733752892,59.5253974136098,19.5293009510562,24032.780126163,16.6716973899197,123,34,3.61764705882353,0.0933810750066395,1317.18337994347,1317183379.94347,1.66716973899197e-05,0.257362427284696,2.48802800414953
"33","1860",394709.835714872,142.859580827641,121.39069340655,61.5329909581208,29.847794244368,88715.799693965,15.4470750308056,621,129,4.81395348837209,0.394709835714872,1573.30763971282,1573307639.71282,1.54470750308056e-05,0.224762069922298,2.19022344115497
"34","1861",405355.720726155,195.585604469703,108.203034042499,95.2934459823931,28.6123312800231,28359.912648107,16.8631455475941,145,127,1.14173228346457,0.405355720726155,357.710506071671,357710506.071671,1.68631455475941e-05,0.0699630255551914,0.707254625781285
"35","1862",148706.163966053,204.199913621114,117.535803247056,63.3443304574857,17.3112845948963,14293.993953478,17.3047618310848,70,58,1.20689655172414,0.148706163966053,470.726956657827,470726956.657827,1.73047618310848e-05,0.0961224038886584,1.03209891604196
"36","1863",231463.805547514,223.210046471094,142.58736592781,72.7490834799487,26.9032934741392,26115.575437118,18.3526472124928,117,89,1.31460674157303,0.231463805547514,505.478598363331,505478598.363331,1.83526472124928e-05,0.112827901430823,1.40212710571981
"37","1864",350597.945015633,128.775844810681,65.8253294084098,50.9683756203284,19.2869707625291,26270.272341379,13.5664245693281,204,153,1.33333333333333,0.350597945015633,581.863079633578,581863079.633578,1.35664245693281e-05,0.0749299096439588,0.481916910562152
"38","1865",310950.908153105,224.454755505974,155.485636153471,61.751639661485,25.3249254777852,52297.958032892,18.6390638252085,233,136,1.71323529411765,0.310950908153105,749.31442195781,749314421.95781,1.86390638252085e-05,0.168187185377641,2.21131300692234
