 ,Label,Area,X,Y,Perim.
57,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,98.020339335,540.574631768,108.169883150,37.897758815
58,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,87.615945775,52.728140861,112.597129925,37.464276985
59,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,358.951577846,350.645099142,118.516534401,90.521139326
60,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,104.591535269,512.034816713,114.022488077,39.504722245
61,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,168.660695616,167.268697500,120.443825444,53.796862112
62,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,158.256302055,680.678295567,121.084634133,52.623380511
63,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,263.395436985,287.111372873,125.892164509,72.402036716
64,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,94.187141708,318.107920314,126.465885348,40.297312181
65,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,135.530916120,442.684920473,125.817327691,47.263828061
66,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,163.184699005,236.344436371,129.456523686,55.889897537
67,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,384.414962086,583.814142628,134.835682557,81.028106191
68,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,67.902357975,474.264525919,130.529875549,31.544278817
69,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,185.910084941,517.309194891,139.218836949,52.929898452
70,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,207.266471723,200.103656404,139.089738341,55.710343484
71,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,292.692018853,64.703723151,141.610537895,68.903375473
72,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,95.829940691,32.726103889,141.898831638,38.510794698
73,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,150.316106970,107.591647264,146.156492141,54.663825771
74,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,124.578922898,347.771061025,150.096515384,58.162487014
75,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,171.946293583,558.479676393,152.026694867,51.143380969
76,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,335.130992588,394.324710506,159.541368743,82.022033739
77,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,344.440186827,434.051956027,159.086498183,85.542478541
78,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,67.354758314,637.710032063,151.068660496,31.671242706
79,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,296.525216481,279.842749843,159.468088771,79.294178873
80,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,300.906013770,585.289312869,159.655609018,79.802034426
81,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,124.031323237,230.928687442,157.834161133,45.529900742
82,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,216.301866131,634.541443095,164.378126720,60.636414104
83,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,250.800644780,471.148329262,166.534557134,59.769450444
84,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,131.423918662,9.949549125,165.650672388,49.737755151
85,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,335.404792419,43.475976545,170.716298659,75.055517859
86,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,541.302264989,595.724649597,179.046767405,110.680687196
87,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,180.981687991,235.556333803,173.261614941,61.249449986
88,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,136.078515781,506.347698456,175.794445391,48.310345774
89,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,179.612688838,138.814352863,174.294653443,50.709899139
90,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,310.489007839,374.755777927,180.079950631,119.867202390
91,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,131.423918662,680.321542567,178.119494881,48.003827832
92,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,159.351501378,275.381605851,178.353949912,49.409453650
93,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,401.938151241,338.959459130,188.456595963,84.368996941
94,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,60.783562381,229.210949215,182.511274814,48.130791721
95,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,188.100483585,182.671037668,189.401045314,52.189898681
96,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,120.471925440,295.396273446,188.507570604,49.610791263
97,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,324.452799197,556.125473500,193.224482244,68.268556031
98,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,382.498363273,34.362974668,198.023137780,78.808106878
99,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,109.246132388,686.015310371,194.770978516,56.143825313
100,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,83.235148486,173.766692646,197.979463467,38.891686363
101,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,272.430831393,98.408162417,203.582140728,67.602929984
102,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,217.397065453,657.023326669,205.287497791,56.502933419
103,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,197.957277485,691.806468333,205.074409508,57.496860967
104,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,178.243689685,138.929245195,205.169315233,52.010344629
105,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,450.948320909,596.436146518,209.141036752,84.167659328
106,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,349.642383607,324.515759168,211.270577810,80.795961974
107,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,111.984130693,488.994356608,208.707999681,42.771239271
108,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,298.989414956,377.450763354,214.034435033,74.061590311
109,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,114.722128999,527.961317309,210.279501403,40.603830122
110,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,389.617158867,39.853166873,221.169163263,86.514622530
111,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,123.757523407,638.320237198,218.659688647,43.870347147
112,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,118.007726965,172.410150930,222.071179958,46.957310120
113,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,135.530916120,228.737587798,223.673076323,44.430792866
114,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,155.518303750,455.445245383,224.816140841,46.830346232
115,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,319.798202078,209.264118850,231.279070434,73.395964264
116,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,502.696488882,596.512531024,234.626307107,136.379341569
117,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,299.263214787,303.502344348,231.223684161,67.602929984
118,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,277.633028173,431.030612501,230.283952043,63.955521294
119,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,177.422290194,521.641437192,229.134084113,54.663825771
120,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,162.089499683,133.753625689,229.733618816,49.969899368
121,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,245.598448000,554.423091944,231.175704315,59.156414562
122,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,107.055733743,673.616820082,228.006366361,40.117758128
123,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,300.632213939,14.358165826,239.930388463,80.108552367
124,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,64.890559839,276.255285853,236.942428500,30.445170940
125,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,349.916183438,39.101111708,246.022147689,85.722032594
126,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,136.352315612,265.105211805,245.969488335,45.477310578
127,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,78.032951706,200.306244131,246.821202449,43.077757212
128,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,306.108210550,296.776229333,260.558572745,72.529000605
129,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,122.388524254,439.109584335,256.729875634,44.303828977
130,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,199.052476807,549.455267378,258.405304218,52.802934564
131,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,301.179813600,403.588128684,262.344865641,69.389447468
132,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,178.791289346,331.592662933,262.069750806,53.056862341
133,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,141.828312223,124.369942799,261.668824015,45.783828519
134,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,335.130992588,233.053680545,265.738549096,69.315073744
135,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,121.567124762,70.757796675,262.320035487,50.096863257
136,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,107.329533574,488.144449345,265.062646900,40.244722016
137,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,291.323019701,575.937843143,270.920223483,68.522483808
138,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,203.707073926,638.313210373,270.262495900,66.429448384
139,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,203.707073926,156.588025924,272.096011811,58.289450902
140,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,102.948736285,186.376176358,273.788238254,39.684276298
141,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,89.806344419,523.806044533,274.852881306,35.498205449
142,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,75.842553061,392.970234505,279.751752398,46.344274237
143,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,340.059389538,10.472339281,285.371561395,71.175964951
144,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,185.636285110,209.677850051,284.337164545,52.623380511
145,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,106.508134082,354.276511233,282.779712461,47.951237668
146,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,159.077701547,638.331223937,286.539161422,50.403381198
147,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,226.158660031,104.243806699,290.812828787,65.763822336
148,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,485.173299727,284.626536689,295.614382083,87.793284459
149,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,167.291696464,458.859050764,290.397103801,50.403381198
150,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,206.445072232,564.012670914,289.820172448,64.875075118
151,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,240.396251219,377.403131853,297.845734946,79.114624820
152,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,165.648897480,400.042639110,300.355340332,75.541589853
153,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,84.604147639,233.403084247,300.854368255,35.677759502
154,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,95.556140860,522.184601227,301.946597910,40.476866234
155,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,65.985759162,129.209112694,302.158106246,32.897314471
156,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,91.996743063,177.218119208,302.518370123,42.136419829
157,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,69.545156959,344.988271997,3.114832246,36.290795385
158,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,88.711145097,661.362049263,5.542667884,44.864274695
159,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,173.862892397,204.547655079,14.624467007,68.469893644
160,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,61.878761703,142.463011850,16.994336302,31.185170711
161,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,87.615945775,295.512074198,18.245382241,37.284722932
162,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,149.220907647,698.045076110,19.469549935,50.044273092
