number,Label,Area,Perim.,%Area
64,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,94.187141708,40.297312181,100.000000000
65,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,135.530916120,47.263828061,100.000000000
66,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,163.184699005,55.889897537,99.832214765
67,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,384.414962086,81.028106191,98.575498575
68,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,67.902357975,31.544278817,100.000000000
69,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,185.910084941,52.929898452,100.000000000
70,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,207.266471723,55.710343484,100.000000000
71,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,292.692018853,68.903375473,100.000000000
72,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,95.829940691,38.510794698,100.000000000
73,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,150.316106970,54.663825771,100.000000000
74,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,124.578922898,58.162487014,100.000000000
75,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,171.946293583,51.143380969,100.000000000
76,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,335.130992588,82.022033739,98.856209150
77,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,344.440186827,85.542478541,100.000000000
78,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,67.354758314,31.671242706,100.000000000
79,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,296.525216481,79.294178873,99.907663897
80,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,300.906013770,79.802034426,99.454049136
81,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,124.031323237,45.529900742,100.000000000
82,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,216.301866131,60.636414104,100.000000000
83,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,250.800644780,59.769450444,100.000000000
84,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,131.423918662,49.737755151,100.000000000
85,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,335.404792419,75.055517859,99.755102041
86,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,541.302264989,110.680687196,99.949418311
87,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,180.981687991,61.249449986,100.000000000
88,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,136.078515781,48.310345774,99.396378270
89,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,179.612688838,50.709899139,100.000000000
90,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,310.489007839,119.867202390,98.059964727
91,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,131.423918662,48.003827832,99.375000000
92,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,159.351501378,49.409453650,100.000000000
93,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,401.938151241,84.368996941,99.931880109
94,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,60.783562381,48.130791721,99.549549550
95,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,188.100483585,52.189898681,100.000000000
96,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,120.471925440,49.610791263,100.000000000
97,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,324.452799197,68.268556031,100.000000000
98,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,382.498363273,78.808106878,100.000000000
99,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,109.246132388,56.143825313,97.744360902
100,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,83.235148486,38.891686363,100.000000000
101,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,272.430831393,67.602929984,100.000000000
102,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,217.397065453,56.502933419,100.000000000
103,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,197.957277485,57.496860967,100.000000000
104,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,178.243689685,52.010344629,100.000000000
105,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,450.948320909,84.167659328,99.939283546
106,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,349.642383607,80.795961974,99.843382929
107,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,111.984130693,42.771239271,100.000000000
108,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,298.989414956,74.061590311,100.000000000
109,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,114.722128999,40.603830122,100.000000000
110,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,389.617158867,86.514622530,99.789177793
111,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,123.757523407,43.870347147,99.778761062
112,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,118.007726965,46.957310120,100.000000000
113,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,135.530916120,44.430792866,100.000000000
114,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,155.518303750,46.830346232,100.000000000
115,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,319.798202078,73.395964264,99.400684932
116,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,502.696488882,136.379341569,98.638344227
117,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,299.263214787,67.602929984,99.817017383
118,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,277.633028173,63.955521294,100.000000000
119,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,177.422290194,54.663825771,100.000000000
120,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,162.089499683,49.969899368,100.000000000
121,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,245.598448000,59.156414562,100.000000000
122,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,107.055733743,40.117758128,100.000000000
123,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,300.632213939,80.108552367,100.000000000
124,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,64.890559839,30.445170940,100.000000000
125,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,349.916183438,85.722032594,99.921752739
126,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,136.352315612,45.477310578,100.000000000
127,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,78.032951706,43.077757212,99.298245614
128,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,306.108210550,72.529000605,100.000000000
129,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,122.388524254,44.303828977,100.000000000
130,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,199.052476807,52.802934564,100.000000000
131,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,301.179813600,69.389447468,100.000000000
132,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,178.791289346,53.056862341,100.000000000
133,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,141.828312223,45.783828519,100.000000000
134,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,335.130992588,69.315073744,100.000000000
135,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,121.567124762,50.096863257,100.000000000
136,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,107.329533574,40.244722016,100.000000000
137,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,291.323019701,68.522483808,100.000000000
138,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,203.707073926,66.429448384,100.000000000
139,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,203.707073926,58.289450902,100.000000000
140,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,102.948736285,39.684276298,100.000000000
141,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,89.806344419,35.498205449,100.000000000
142,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,75.842553061,46.344274237,99.277978339
143,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,340.059389538,71.175964951,100.000000000
144,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,185.636285110,52.623380511,100.000000000
145,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,106.508134082,47.951237668,98.971722365
