"","X","file","id_complete","image_surface_µm2","id_amap","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ","image_surface_rectified_µm2"
"127",127,"1955_F3-Fe1-67_Racine_X200_09µm_square.jpg","1955_F3_Fe1_67_R_X200_09µm",114754.984978369,"1955",67,"F3","F",3,"Fe1","Fe",1,0,"R",110815.826816306
"128",128,"1956_F2-Ft1-64_Tige_X200_09µm_square.jpg","1956_F2_Ft1_64_T_X200_09µm",286847.487670664,"1956",64,"F2","F",2,"Ft1","Ft",1,0,"T",262164.706746788
"129",129,"1957_F2-Ft1-64_Racine_X200_09µm_square.jpg","1957_F2_Ft1_64_R_X200_09µm",207103.56082402,"1957",64,"F2","F",2,"Ft1","Ft",1,0,"R",198325.538256721
"130",130,"1958_F2-Fe1-61_Tige_X200_09µm_square.jpg","1958_F2_Fe1_61_T_X200_09µm",92633.0538695882,"1958",61,"F2","F",2,"Fe1","Fe",1,0,"T",84972.9560104082
"131",131,"1959_F2-Fe1-61_Racine_X200_09µm_square.jpg","1959_F2_Fe1_61_R_X200_09µm",106859.96686458,"1959",61,"F2","F",2,"Fe1","Fe",1,0,"R",95797.632311036
"132",132,"1960_F3-Fe2-68_Tige_X200_09µm_square.jpg","1960_F3_Fe2_68_T_X200_09µm",876744.29418471,"1960",68,"F3","F",3,"Fe2","Fe",2,0,"T",787359.327704887
"133",133,"1961_F3-Fe2-68_Racine_X200_09µm_square.jpg","1961_F3_Fe2_68_R_X200_09µm",609401.211242809,"1961",68,"F3","F",3,"Fe2","Fe",2,0,"R",580355.430019185
"134",134,"1962_F3-Ft3-72_Tige_X200_09µm_square.jpg","1962_F3_Ft3_72_T_X200_09µm",376047.639264868,"1962",72,"F3","F",3,"Ft3","Ft",3,0,"T",338633.440020441
"135",135,"1963_F3-Ft3-72_Racine_X200_09µm_square.jpg","1963_F3_Ft3_72_R_X200_09µm",116898.290051882,"1963",72,"F3","F",3,"Ft3","Ft",3,0,"R",107702.722743
"136",136,"1964_P2-Fe1-79_Tige_X200_09µm_square.jpg","1964_P2_Fe1_79_T_X200_09µm",158418.391555174,"1964",79,"P2","P",2,"Fe1","Fe",1,0,"T",152696.796496258
"137",137,"1965_P2-Fe1-79_Racine_X200_09µm_square.jpg","1965_P2_Fe1_79_R_X200_09µm",117825.923877771,"1965",79,"P2","P",2,"Fe1","Fe",1,0,"R",117825.923877771
"138",138,"1966_P1-Ft1-76_Tige_X200_09µm_square.jpg","1966_P1_Ft1_76_T_X200_09µm",151746.437284433,"1966",76,"P1","P",1,"Ft1","Ft",1,0,"T",141167.907031464
"139",139,"1967_P1-Ft1-76_Racine_X200_09µm_square.jpg","1967_P1_Ft1_76_R_X200_09µm",94534.0460930679,"1967",76,"P1","P",1,"Ft1","Ft",1,0,"R",80240.5997392529
"140",140,"1968_t2-Ft3-36_Tige_X200_09µm_square.jpg","1968_t2_Ft3_36_T_X200_09µm",164455.67781871,"1968",36,"t2","T",2,"Ft3","Ft",3,1,"T",148547.633864167
"141",141,"1969_t2-Ft3-36_Racine_X200_09µm_square.jpg","1969_t2_Ft3_36_R_X200_09µm",96220.9268490608,"1969",36,"t2","T",2,"Ft3","Ft",3,1,"R",76507.8866494218
"142",142,"1970_t1-Ft1-16_Tige_X200_09µm_square.jpg","1970_t1_Ft1_16_T_X200_09µm",566798.505209539,"1970",16,"t1","T",1,"Ft1","Ft",1,1,"T",556456.811809992
"143",143,"1971_t1-Ft1-16_Racine_X200_09µm_square.jpg","1971_t1_Ft1_16_R_X200_09µm",214904.391796102,"1971",16,"t1","T",1,"Ft1","Ft",1,1,"R",214904.391796102
"144",144,"1972_t1-Fe1-10_Tige_X200_09µm_square.jpg","1972_t1_Fe1_10_T_X200_09µm",242634.838633784,"1972",10,"t1","T",1,"Fe1","Fe",1,1,"T",239383.465646052
"145",145,"1973_t1-Fe1-10_Racine_X200_09µm_square.jpg","1973_t1_Fe1_10_R_X200_09µm",207239.091740141,"1973",10,"t1","T",1,"Fe1","Fe",1,1,"R",207239.091740141
"146",146,"1974_t3-Ft2-53_Tige_X200_09µm_square.jpg","1974_t3_Ft2_53_T_X200_09µm",229313.381678407,"1974",53,"t3","T",3,"Ft2","Ft",2,1,"T",219097.08860125
"147",147,"1975_t3-Ft2-53_Racine_X200_09µm_square.jpg","1975_t3_Ft2_53_R_X200_09µm",71958.9762647335,"1975",53,"t3","T",3,"Ft2","Ft",2,1,"R",67045.9121054195
"148",148,"1976_t2-Ft1-34_Tige_X200_09µm_square.jpg","1976_t2_Ft1_34_T_X200_09µm",458603.490371217,"1976",34,"t2","T",2,"Ft1","Ft",1,1,"T",405208.142617491
"149",149,"1977_t1-Ft3-18_Racine_X200_09µm_square.jpg","1977_t1_Ft3_18_R_X200_09µm",170745.95512567,"1977",18,"t1","T",1,"Ft3","Ft",3,1,"R",157178.352122632
"150",150,"1978_t2-Ft2-35_Tige_X200_09µm_square.jpg","1978_t2_Ft2_35_T_X200_09µm",245083.704318186,"1978",35,"t2","T",2,"Ft2","Ft",2,1,"T",193764.85447932
"151",151,"1979_t2-Ft2-35_Racine_X200_09µm_square.jpg","1979_t2_Ft2_35_R_X200_09µm",79615.5147261172,"1979",35,"t2","T",2,"Ft2","Ft",2,1,"R",68100.3152528512
"152",152,"1980_t3-Ho2-41_Tige_X200_09µm_square.jpg","1980_t3_Ho2_41_T_X200_09µm",160862.876442287,"1980",41,"t3","T",3,"Ho2","Ho",2,1,"T",144219.953742558
"153",153,"1981_t3-Ho2-41_Racine_X200_09µm_square.jpg","1981_t3_Ho2_41_R_X200_09µm",64648.7945889903,"1981",41,"t3","T",3,"Ho2","Ho",2,1,"R",61039.0176230733
"154",154,"1982_t1-Ho3-6_Tige_X200_09µm_square.jpg","1982_t1_Ho3_06_T_X200_09µm",439192.45138467,"1982",6,"t1","T",1,"Ho3","Ho",3,1,"T",425742.582308767
"155",155,"1983_t1-Ho2-5_Tige_X200_09µm_square.jpg","1983_t1_Ho2_05_T_X200_09µm",329768.896706689,"1983",5,"t1","T",1,"Ho2","Ho",2,1,"T",296774.374326933
"156",156,"1984_t1-Ho1-4_Tige_X200_09µm_square.jpg","1984_t1_Ho1_04_T_X200_09µm",502135.746829191,"1984",4,"t1","T",1,"Ho1","Ho",1,1,"T",470620.291134044
"157",157,"1985_t2-Ho1-22_Tige_X200_09µm_square.jpg","1985_t2_Ho1_22_T_X200_09µm",865207.464524831,"1985",22,"t2","T",2,"Ho1","Ho",1,1,"T",826541.178655318
"158",158,"1986_t2-Ho2-23_Tige_X200_11µm_square.jpg","1986_t2_Ho2_23_T_X200_11µm",221635.48683024,"1986",23,"t2","T",2,"Ho2","Ho",2,1,"T",211798.68031822
