"","X","file","id_complete","image_surface_µm2","id_amap","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ","image_surface_rectified_µm2"
"31",31,"1858_t3-Ho3-42_Tige_X200_09µm_square.jpg","1858_t3_Ho3_42_T_X200_09µm",131003.362122281,"1858",42,"t3","T",3,"Ho3","Ho",3,1,"T",124202.995731014
"32",32,"1859_t3-Ho3-42_Racine_X200_09µm_square.jpg","1859_t3_Ho3_42_R_X200_09µm",93381.0750066395,"1859",42,"t3","T",3,"Ho3","Ho",3,1,"R",93381.0750066395
"33",33,"1860_T3-Fe3-45_Tige_X200_09µm_square.jpg","1860_T3_Fe3_45_T_X200_09µm",394709.835714872,"1860",45,"T3","T",3,"Fe3","Fe",3,0,"T",394709.835714872
"34",34,"1861_T3-Fe3-45_Racine_X200_09µm_square.jpg","1861_T3_Fe3_45_R_X200_09µm",405355.720726155,"1861",45,"T3","T",3,"Fe3","Fe",3,0,"R",405355.720726155
"35",35,"1862_t3-Fe3-48_Tige_X200_09µm_square.jpg","1862_t3_Fe3_48_T_X200_09µm",148706.163966053,"1862",48,"t3","T",3,"Fe3","Fe",3,1,"T",148706.163966053
"36",36,"1863_t3-Fe3-48_Racine_X200_09µm_square.jpg","1863_t3_Fe3_48_R_X200_09µm",231463.805547514,"1863",48,"t3","T",3,"Fe3","Fe",3,1,"R",231463.805547514
"37",37,"1864_T3-Ft3-51_Tige_X200_09µm_square.jpg","1864_T3_Ft3_51_T_X200_09µm",362668.410545246,"1864",51,"T3","T",3,"Ft3","Ft",3,0,"T",350597.945015633
"38",38,"1865_T3-Ft3-51_Racine_X200_09µm_square.jpg","1865_T3_Ft3_51_R_X200_09µm",325865.606322428,"1865",51,"T3","T",3,"Ft3","Ft",3,0,"R",310950.908153105
"39",39,"1866_t3-Ft1-52_Tige_X200_11µm_square.jpg","1866_t3_Ft1_52_T_X200_11µm",562231.524036034,"1866",52,"t3","T",3,"Ft1","Ft",1,1,"T",546514.318563381
"40",40,"1867_t3-Ft1-52_Racine_X200_09µm_square.jpg","1867_t3_Ft1_52_R_X200_09µm",483131.848190665,"1867",52,"t3","T",3,"Ft1","Ft",1,1,"R",483131.848190665
"41",41,"1868_F1-Fe1-55_Tige_X200_09µm_square.jpg","1868_F1_Fe1_55_T_X200_09µm",176106.408208096,"1868",55,"F1","F",1,"Fe1","Fe",1,0,"T",169066.740764932
"42",42,"1869_F1-Fe1-55_Racine_X200_09µm_square.jpg","1869_F1_Fe1_55_R_X200_09µm",157910.219069681,"1869",55,"F1","F",1,"Fe1","Fe",1,0,"R",157910.219069681
"43",43,"1870_F1-Fe2-56_Tige_X200_09µm_square.jpg","1870_F1_Fe2_56_T_X200_09µm",124651.206053618,"1870",56,"F1","F",1,"Fe2","Fe",2,0,"T",124651.206053618
"44",44,"1871_F1-Fe2-56_Racine_X200_09µm_square.jpg","1871_F1_Fe2_56_R_X200_09µm",104666.008822416,"1871",56,"F1","F",1,"Fe2","Fe",2,0,"R",104666.008822416
"45",45,"1872_F1-Fe3-57_Tige_X200_09µm_square.jpg","1872_F1_Fe3_57_T_X200_09µm",443262.485865734,"1872",57,"F1","F",1,"Fe3","Fe",3,0,"T",443262.485865734
"46",46,"1873_F1-Fe3-57_Racine_X200_09µm_square.jpg","1873_F1_Fe3_57_R_X200_09µm",214064.921515648,"1873",57,"F1","F",1,"Fe3","Fe",3,0,"R",214064.921515648
"47",47,"1874_F1-Ft3-60_Tige_X200_09µm_square.jpg","1874_F1_Ft3_60_T_X200_09µm",99654.3767241056,"1874",60,"F1","F",1,"Ft3","Ft",3,0,"T",99654.3767241056
"48",48,"1875_F1-Ft3-60_Racine_X200_11µm_square.jpg","1875_F1_Ft3_60_R_X200_11µm",122855.079165237,"1875",60,"F1","F",1,"Ft3","Ft",3,0,"R",115174.172518935
"49",49,"1876_F2-Fe2-62_Tige_X200_09µm_square.jpg","1876_F2_Fe2_62_T_X200_09µm",133934.115508444,"1876",62,"F2","F",2,"Fe2","Fe",2,0,"T",131499.2136154
"50",50,"1877_F2-Fe2-62_Racine_X200_09µm_square.jpg","1877_F2_Fe2_62_R_X200_09µm",292497.073374146,"1877",62,"F2","F",2,"Fe2","Fe",2,0,"R",292497.073374146
"51",51,"1878_F2-Fe3-63_Tige_X200_11µm_square.jpg","1878_F2_Fe3_63_T_X200_11µm",331846.216021041,"1878",63,"F2","F",2,"Fe3","Fe",3,0,"T",320840.28423259
"52",52,"1879_F2-Fe3-63_Racine_X200_09µm_square.jpg","1879_F2_Fe3_63_R_X200_09µm",220989.319230152,"1879",63,"F2","F",2,"Fe3","Fe",3,0,"R",220989.319230152
"53",53,"1880_F2-Ft2-65_Tige_X200_09µm_square.jpg","1880_F2_Ft2_65_T_X200_09µm",113123.137988316,"1880",65,"F2","F",2,"Ft2","Ft",2,0,"T",107836.884659968
"54",54,"1881_F2-Ft2-65_Racine_X200_09µm_square.jpg","1881_F2_Ft2_65_R_X200_09µm",114166.315342696,"1881",65,"F2","F",2,"Ft2","Ft",2,0,"R",114166.315342696
"55",55,"1882_F2-Ft3-66_Tige_X200_11µm_square.jpg","1882_F2_Ft3_66_T_X200_11µm",107005.3545746,"1882",66,"F2","F",2,"Ft3","Ft",3,0,"T",101859.834359152
