Label,Area,Perim.
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,335.130992588,82.022033739
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,344.440186827,85.542478541
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,67.354758314,31.671242706
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,296.525216481,79.294178873
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,300.906013770,79.802034426
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,124.031323237,45.529900742
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,216.301866131,60.636414104
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,250.800644780,59.769450444
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,131.423918662,49.737755151
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,335.404792419,75.055517859
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,541.302264989,110.680687196
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,180.981687991,61.249449986
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,136.078515781,48.310345774
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,179.612688838,50.709899139
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,310.489007839,119.867202390
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,131.423918662,48.003827832
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,159.351501378,49.409453650
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,401.938151241,84.368996941
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,60.783562381,48.130791721
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,188.100483585,52.189898681
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,120.471925440,49.610791263
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,324.452799197,68.268556031
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,382.498363273,78.808106878
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,109.246132388,56.143825313
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,83.235148486,38.891686363
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,272.430831393,67.602929984
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,217.397065453,56.502933419
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,197.957277485,57.496860967
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,178.243689685,52.010344629
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,450.948320909,84.167659328
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,349.642383607,80.795961974
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,111.984130693,42.771239271
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,298.989414956,74.061590311
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,114.722128999,40.603830122
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,389.617158867,86.514622530
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,123.757523407,43.870347147
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,118.007726965,46.957310120
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,135.530916120,44.430792866
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,155.518303750,46.830346232
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,319.798202078,73.395964264
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,502.696488882,136.379341569
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,299.263214787,67.602929984
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,277.633028173,63.955521294
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,177.422290194,54.663825771
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,162.089499683,49.969899368
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,245.598448000,59.156414562
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,107.055733743,40.117758128
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,300.632213939,80.108552367
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,64.890559839,30.445170940
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,349.916183438,85.722032594
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,136.352315612,45.477310578
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,78.032951706,43.077757212
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,306.108210550,72.529000605
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,122.388524254,44.303828977
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,199.052476807,52.802934564
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,301.179813600,69.389447468
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,178.791289346,53.056862341
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,141.828312223,45.783828519
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,335.130992588,69.315073744
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,121.567124762,50.096863257
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,107.329533574,40.244722016
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,291.323019701,68.522483808
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,203.707073926,66.429448384
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,203.707073926,58.289450902
1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,102.948736285,39.684276298
