code,species,site_type,site_replicate,site,micro,num,diam_tig_princip_mm,diam_tig_lat_mm,diam_rac_pivot_mm,diam_rac_lat_mm,conicite_mm,empreinte_mm,empreinte_photo_mm,x_mm,y_mm,y_photo_mm,prof_pivot_mm,axes_caul_totaux,axes_caul_morts,axes_caul_inflo,axes_rac_lat,inclinaison_axe_principal,complex_rac
t3-Ho3,Helianthemum oelandicum,T,3,T3,1,42,"5,77","2,43","5,08","2,62",17,156,143,249,37,NA,15,11,0,0,3,1,6
T3-Fe1,Fumana ericoides,T,3,T3,0,43,"5,31","2,08","2,47","1,21",26,118,116,145,250,232,25,6,0,6,5,1,6
T3-Fe2,Fumana ericoides,T,3,T3,0,44,"3,04","1,87","1,72","1,64",39,227,191,232,190,225,52,4,0,3,2,1,5
T3-Fe3,Fumana ericoides,T,3,T3,0,45,"4,1","1,74","3,5","2,87",23,NA,213,213,292,260,132,9,0,8,2,1,7
t3-Fe1,Fumana ericoides,T,3,T3,1,46,"4,15","3,3","3,24",NA,27,140,147,180,180,157,43,3,0,2,3,1,4
t3-Fe2,Fumana ericoides,T,3,T3,1,47,"4,44","1,91","3,8",NA,13,197,157,257,NA,103,63,3,0,1,3,0,6
t3-Fe3,Fumana ericoides,T,3,T3,1,48,"6,92","5,15","5,49","2,74",35,280,381,280,295,272,13,4,0,4,5,0,7
T3-Ft1,Fumana thymifolia,T,3,T3,0,49,"7,67","5,71","7,86","2,34",9,175,180,175,201,197,17,4,0,4,3,0,5
T3-Ft2,Fumana thymifolia,T,3,T3,0,50,"10,39","3,94","5,89","3,65",17,177,169,215,256,262,20,6,0,6,5,0,6
T3-Ft3,Fumana thymifolia,T,3,T3,0,51,"7,72","3,72","5,86","2,77",22,153,158,153,295,315,43,4,0,4,3,0,6
t3-Ft1,Fumana thymifolia,T,3,T3,1,52,"7,7","3,69","6,83","3,34",15,115,136,115,227,221,40,8,0,6,2,0,6
t3-Ft2,Fumana thymifolia,T,3,T3,1,53,"8,28","4,89","8,5","2,75",35,225,229,270,143,144,82,3,0,3,3,1,4
t3-Ft3,Fumana thymifolia,T,3,T3,1,54,"23,25","10,53","13,23","6,33","6,62",252,352,252,231,221,19,4,0,1,6,1,5
F1-Fe1,Fumana ericoides,F,1,F1,0,55,3,"2,09","2,46","0,92",34,155,142,261,247,215,42,4,2,1,2,1,5
F1-Fe2,Fumana ericoides,F,1,F1,0,56,"2,82","1,96","2,13","1,04",33,135,148,198,237,250,53,3,0,1,2,0,4
F1-Fe3,Fumana ericoides,F,1,F1,0,57,"5,99","4,31","3,83","1,17",19,243,231,315,226,184,74,2,0,2,3,1,5
F1-Ft1,Fumana thymifolia,F,1,F1,0,58,"5,18","2,96","6,42","2,59",18,177,156,177,215,131,24,3,1,2,5,0,4
F1-Ft2,Fumana thymifolia,F,1,F1,0,59,"8,54","3,88","6,57","3,1",20,122,155,122,290,290,38,7,1,6,4,0,4
F1-Ft3,Fumana thymifolia,F,1,F1,0,60,"5,49","2,77","3,93","2,45",23,86,102,86,240,204,25,3,0,2,2,0,3
F2-Fe1,Fumana ericoides,F,2,F2,0,61,"2,77","2,23","1,77","1,03",49,150,172,275,220,195,42,1,0,1,1,0,3
F2-Fe2,Fumana ericoides,F,2,F2,0,62,"4,9","2,42","4,11","1,89",26,283,263,283,278,243,37,8,0,2,3,0,4
F2-Fe3,Fumana ericoides,F,2,F2,0,63,"2,44","1,94","2,06","1,29",20,160,138,175,235,191,50,6,2,1,3,1,4
F2-Ft1,Fumana thymifolia,F,2,F2,0,64,"4,53","3,5","2,99","1,71",29,136,139,136,222,206,37,4,0,4,3,0,3
F2-Ft2,Fumana thymifolia,F,2,F2,0,65,"3,5","2,05","1,88","1,03",16,54,50,54,168,174,69,2,0,2,3,1,5
F2-Ft3,Fumana thymifolia,F,2,F2,0,66,"5,25","2,92","4,16","2,38",27,129,77,149,195,200,23,2,0,2,4,1,4
F3-Fe1,Fumana ericoides,F,3,F3,0,67,"2,6","2,16","1,51","0,98",20,150,104,280,145,248,50,2,0,0,2,1,4
F3-Fe2,Fumana ericoides,F,3,F3,0,68,"4,62","2,52","3,56","1,38",18,248,205,275,325,278,76,6,0,2,4,0,5
F3-Fe3,Fumana ericoides,F,3,F3,0,69,"5,18","2,48","3,35","2,06",33,233,280,233,342,322,26,3,0,2,2,0,4
F3-Ft1,Fumana thymifolia,F,3,F3,0,70,"3,45","2,74","2,19","0,85",27,77,84,101,172,117,47,2,0,2,2,1,3
F3-Ft2,Fumana thymifolia,F,3,F3,0,71,"4,66","2,81","3,45","3,17",19,188,176,194,118,124,75,3,0,2,1,0,5
F3-Ft3,Fumana thymifolia,F,3,F3,0,72,"4,6","3,08","6,91","3,92",18,NA,151,151,NA,175,55,4,0,3,3,0,5
P1-Fe1,Fumana ericoides,P,1,P1,0,73,"3,47","2,79","3,1","2,45",10,127,173,127,265,293,15,2,0,1,2,1,5
P1-Fe2,Fumana ericoides,P,1,P1,0,74,"2,39","1,78","2,6","0,89",27,NA,102,131,254,252,83,3,0,3,3,0,5
P1-Fe3,Fumana ericoides,P,1,P1,0,75,"4,03","2,18","4,28","2,65",18,113,112,113,284,260,77,2,0,2,4,1,5
P1-Ft1,Fumana thymifolia,P,1,P1,0,76,"5,59","4,32","4,25","3,84",65,179,143,183,198,206,32,3,0,3,2,1,5
P1-Ft2,Fumana thymifolia,P,1,P1,0,77,"9,33","4,84","10,85","6,22",49,163,277,163,165,172,32,4,0,4,4,0,5
P1-Ft3,Fumana thymifolia,P,1,P1,0,78,"3,92","2,44","2,54","0,95",49,115,128,181,123,122,32,2,0,2,1,1,5
P2-Fe1,Fumana ericoides,P,2,P2,0,79,"2,88","2,56","3,11","2,54",22,184,212,184,245,262,149,3,0,3,3,1,6
P2-Fe2,Fumana ericoides,P,2,P2,0,80,"5,42","2,94","3,54","2,63",36,215,244,235,183,182,97,4,0,4,4,1,6
P2-Fe3,Fumana ericoides,P,2,P2,0,81,"4,38","3,27","2,96","1,79",21,185,202,185,233,260,163,3,0,3,4,1,6
P2-Ft1,Fumana thymifolia,P,2,P2,0,82,"11,53","6,48","13,11","7,17",22,255,308,255,157,144,165,4,0,4,4,0,5
P2-Ft2,Fumana thymifolia,P,2,P2,0,83,"8,08","8,79","7,26","4,94",19,215,196,215,217,189,35,4,0,4,3,0,5
P2-Ft3,Fumana thymifolia,P,2,P2,0,84,"3,01","1,63","2,19","0,82",27,NA,83,114,146,178,60,4,0,4,2,1,5
P3-Fe1,Fumana ericoides,P,3,P3,0,85,"3,34","1,97","2,56","1,67",32,155,231,155,245,292,90,5,0,4,3,1,6
P3-Fe2,Fumana ericoides,P,3,P3,0,86,"3,4","2,8","2,77","1,25",27,165,205,242,222,180,132,2,0,2,4,1,5
P3-Fe3,Fumana ericoides,P,3,P3,0,87,"3,98","3,23","2,31","0,98",33,180,201,249,219,195,86,5,1,4,4,1,4
P3-Ft1,Fumana thymifolia,P,3,P3,0,88,"5,77","3,32","4,34","2,72",39,149,127,149,183,202,27,2,0,2,2,1,5
P3-Ft2,Fumana thymifolia,P,3,P3,0,89,"3,65","1,75","2,59","1,97",21,65,67,108,144,123,47,4,0,3,3,0,4
P3-Ft3,Fumana thymifolia,P,3,P3,0,90,"6,33","3,94","9,38","5,71",92,210,149,NA,165,167,57,5,0,2,4,0,6
